run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
3,3,2029,1059000.0,0.0,269695.8069444444,0,347801,1676496.8069444443
3,3,2030,1059000.0,0.0,1382578.4280092593,0,794969,3236547.4280092595
3,3,2031,1059000.0,0.0,877069.2418981481,0,861482,2797551.2418981483
3,3,2032,1061901.3698630137,0.0,526194.8719907408,0,221821,1809917.2418537545
3,3,2033,1059000.0,0.0,1372919.0421296295,0,903396,3335315.0421296293
3,3,2034,1059000.0,0.0,999918.9162037037,0,520953,2579871.9162037037
3,3,2035,1059000.0,0.0,505888.00509259256,0,102668,1667556.0050925924
3,3,2036,1061901.3698630137,0.0,816286.8685185185,0,560250,2438438.238381532
4,4,2017,1059000.0,0.0,522145.9534722222,0,381376,1962521.9534722222
4,4,2018,1059000.0,0.0,777633.7923611111,0,270722,2107355.7923611114
4,4,2019,1059000.0,0.0,459370.32037037035,0,346205,1864575.3203703703
4,4,2020,1061901.3698630137,0.0,21958.63472222222,0,42599,1126459.0045852358
4,4,2021,1059000.0,0.0,856479.955324074,0,335648,2251127.9553240743
4,4,2022,1059000.0,0.0,720906.3706018518,0,363039,2142945.370601852
4,4,2023,1059000.0,0.0,869216.4868055556,0,325861,2254077.4868055554
4,4,2024,1061901.3698630137,0.0,1030201.9428240741,0,568144,2660247.312687088
4,4,2025,1059000.0,0.0,487106.90486111114,0,223677,1769783.9048611112
4,4,2026,1059000.0,0.0,508158.4122685185,0,382722,1949880.4122685185
4,4,2027,1059000.0,0.0,982126.6550925926,0,687728,2728854.6550925924
4,4,2028,1061901.3698630137,0.0,539327.0368055556,0,269991,1871219.4066685694
4,4,2029,1059000.0,0.0,702862.0171296296,0,506180,2268042.01712963
4,4,2030,1059000.0,0.0,715271.6733796296,0,486261,2260532.67337963
4,4,2031,1059000.0,0.0,739594.3324074075,0,576708,2375302.3324074075
4,4,2032,1061901.3698630137,0.0,269581.5493055555,0,85366,1416848.9191685691
4,4,2033,1059000.0,0.0,1034798.6622685185,0,573293,2667091.6622685185
4,4,2034,1059000.0,0.0,1010804.4208333334,0,274617,2344421.4208333334
4,4,2035,1059000.0,0.0,1158593.2905092593,0,603214,2820807.2905092593
4,4,2036,1061901.3698630137,0.0,235039.7576388889,0,335834,1632775.1275019026
5,5,2017,1059000.0,0.0,1093102.6282407406,0,715953,2868055.628240741
5,5,2018,1059000.0,0.0,1050732.224537037,0,569893,2679625.2245370373
5,5,2019,1059000.0,0.0,520736.5180555556,0,498527,2078263.5180555556
5,5,2020,1061901.3698630137,0.0,700718.0326388889,0,372205,2134824.4025019025
5,5,2021,1059000.0,0.0,725659.8032407408,0,362027,2146686.8032407407
5,5,2022,1059000.0,0.0,683256.187962963,0,565090,2307346.1879629632
5,5,2023,1059000.0,0.0,773893.9761574074,0,534370,2367263.9761574073
5,5,2024,1061901.3698630137,0.0,738112.3722222223,0,378502,2178515.742085236
5,5,2025,1059000.0,0.0,268820.618287037,0,206699,1534519.6182870371
5,5,2026,1059000.0,0.0,743551.4324074074,0,512137,2314688.4324074076
5,5,2027,1059000.0,0.0,746656.0895833333,0,639653,2445309.0895833336
5,5,2028,1061901.3698630137,0.0,1223186.7775462964,0,534822,2819910.14740931
5,5,2029,1059000.0,0.0,825519.0685185185,0,581648,2466167.0685185185
5,5,2030,1059000.0,0.0,994641.4368055556,0,312745,2366386.4368055556
5,5,2031,1059000.0,0.0,291734.6875,0,485696,1836430.6875
5,5,2032,1061901.3698630137,0.0,275735.6905092593,0,351924,1689561.060372273
5,5,2033,1059000.0,0.0,573029.9449074074,0,485603,2117632.9449074073
5,5,2034,1059000.0,0.0,304992.6875,0,87404,1451396.6875
5,5,2035,1059000.0,0.0,710436.093287037,0,490232,2259668.0932870368
5,5,2036,1061901.3698630137,0.0,873578.6747685185,0,445552,2381032.0446315324
6,6,2017,1059000.0,0.0,811061.1525462962,0,622786,2492847.1525462964
6,6,2018,1059000.0,0.0,986934.55625,0,516633,2562567.55625
6,6,2019,1059000.0,0.0,489342.425462963,0,343029,1891371.425462963
6,6,2020,1061901.3698630137,0.0,1045692.3502314815,0,465175,2572768.7200944955
6,6,2021,1059000.0,0.0,841178.4532407407,0,562857,2463035.4532407406
6,6,2022,1059000.0,0.0,684595.2386574075,0,487818,2231413.2386574075
6,6,2023,1059000.0,0.0,21898.60439814815,0,32103,1113001.6043981481
6,6,2024,1061901.3698630137,0.0,787456.0261574074,0,526035,2375392.3960204213
6,6,2025,1059000.0,0.0,467176.3476851852,0,334943,1861119.3476851853
6,6,2026,1059000.0,0.0,234888.91689814816,0,343788,1637676.9168981481
6,6,2027,1059000.0,0.0,247841.54166666666,0,186585,1493426.5416666667
6,6,2028,1061901.3698630137,0.0,517876.93703703705,0,230989,1810767.3069000507
6,6,2029,1059000.0,0.0,1090065.2701388889,0,830623,2979688.2701388886
6,6,2030,1059000.0,0.0,520683.33078703703,0,262280,1841963.330787037
6,6,2031,1059000.0,0.0,538400.7912037037,0,525238,2122638.7912037037
6,6,2032,1061901.3698630137,0.0,1352196.3277777778,0,487962,2902059.6976407915
6,6,2033,1059000.0,0.0,1316821.6081018518,0,602859,2978680.608101852
6,6,2034,1059000.0,0.0,260013.79189814816,0,76363,1395376.7918981481
6,6,2035,1059000.0,0.0,244012.54930555556,0,182597,1485609.5493055556
6,6,2036,1061901.3698630137,0.0,496984.76944444445,0,225071,1783957.1393074582
7,7,2017,1059000.0,0.0,817141.225462963,0,296534,2172675.225462963
7,7,2018,1059000.0,0.0,1231190.8608796296,0,604679,2894869.86087963
7,7,2019,1059000.0,0.0,247252.0712962963,0,200766,1507018.0712962963
7,7,2020,1061901.3698630137,0.0,266701.7326388889,0,180944,1509547.1025019027
7,7,2021,1059000.0,0.0,21898.66851851852,0,177349,1258247.6685185186
7,7,2022,1059000.0,0.0,753289.4428240741,0,377563,2189852.442824074
7,7,2023,1059000.0,0.0,749351.7912037037,0,257177,2065528.7912037037
7,7,2024,1061901.3698630137,0.0,270166.2898148148,0,64097,1396164.6596778287
7,7,2025,1059000.0,0.0,1235439.9569444444,0,633406,2927845.956944444
7,7,2026,1059000.0,0.0,1025262.4976851852,0,713319,2797581.497685185
7,7,2027,1059000.0,0.0,841619.6115740741,0,425461,2326080.6115740743
7,7,2028,1061901.3698630137,0.0,835286.525,0,541602,2438789.8948630136
7,7,2029,1059000.0,0.0,1020614.9365740741,0,781969,2861583.936574074
7,7,2030,1059000.0,0.0,884939.306712963,0,409943,2353882.306712963
7,7,2031,1059000.0,0.0,245744.0076388889,0,338340,1643084.007638889
7,7,2032,1061901.3698630137,0.0,783347.988425926,0,425850,2271099.3582889396
7,7,2033,1059000.0,0.0,495239.3675925926,0,224953,1779192.3675925927
7,7,2034,1059000.0,0.0,1277544.2599537037,0,594790,2931334.2599537037
7,7,2035,1059000.0,0.0,512471.44907407404,0,119634,1691105.4490740742
7,7,2036,1061901.3698630137,0.0,886612.4171296296,0,641073,2589586.7869926435
8,8,2017,1059000.0,0.0,1318535.468287037,0,1013850,3391385.4682870368
8,8,2018,1059000.0,0.0,783494.4905092593,0,393530,2236024.4905092595
8,8,2019,1059000.0,0.0,273482.9858796296,0,332708,1665190.9858796296
8,8,2020,1061901.3698630137,0.0,908044.0629629629,0,477160,2447105.4328259765
8,8,2021,1059000.0,0.0,400229.89143518516,0,402211,1861440.8914351852
8,8,2022,1059000.0,0.0,243908.44421296296,0,196217,1499125.4442129629
8,8,2023,1059000.0,0.0,791654.662962963,0,421650,2272304.662962963
8,8,2024,1061901.3698630137,0.0,529976.2002314815,0,235480,1827357.570094495
8,8,2025,1059000.0,0.0,1017835.1608796297,0,409804,2486639.1608796297
8,8,2026,1059000.0,0.0,1203678.700462963,0,1161884,3424562.700462963
8,8,2027,1059000.0,0.0,1343493.849537037,0,759520,3162013.8495370373
8,8,2028,1061901.3698630137,0.0,1406201.3608796296,0,764092,3232194.7307426436
8,8,2029,1059000.0,0.0,820397.675462963,0,477795,2357192.675462963
8,8,2030,1059000.0,0.0,241928.19375,0,179278,1480206.19375
8,8,2031,1059000.0,0.0,748152.2442129629,0,627590,2434742.2442129627
8,8,2032,1061901.3698630137,0.0,811352.2784722223,0,297664,2170917.648335236
8,8,2033,1059000.0,0.0,239146.0321759259,0,193592,1491738.032175926
8,8,2034,1059000.0,0.0,539880.2472222223,0,366533,1965413.2472222224
8,8,2035,1059000.0,0.0,1053826.1418981482,0,572081,2684907.141898148
8,8,2036,1061901.3698630137,0.0,801432.8810185186,0,675892,2539226.250881532
9,9,2017,1059000.0,0.0,989360.9662037038,0,405438,2453798.9662037035
9,9,2018,1059000.0,0.0,786821.8340277778,0,264258,2110079.834027778
9,9,2019,1059000.0,0.0,1042474.8421296297,0,671132,2772606.8421296296
9,9,2020,1061901.3698630137,0.0,466592.6287037037,0,335981,1864474.9985667174
9,9,2021,1059000.0,0.0,250400.5125,0,201426,1510826.5125
9,9,2022,1059000.0,0.0,860970.8458333333,0,721487,2641457.845833333
9,9,2023,1059000.0,0.0,1331202.1752314814,0,499957,2890159.1752314814
9,9,2024,1061901.3698630137,0.0,1078526.4851851852,0,458756,2599183.855048199
9,9,2025,1059000.0,0.0,720571.2094907408,0,480398,2259969.2094907407
9,9,2026,1059000.0,0.0,786062.0201388889,0,506351,2351413.0201388886
9,9,2027,1059000.0,0.0,917156.3449074074,0,445535,2421691.3449074076
9,9,2028,1061901.3698630137,0.0,1003445.4377314815,0,525161,2590507.8075944954
9,9,2029,1059000.0,0.0,1140402.2305555556,0,548707,2748109.230555556
9,9,2030,1059000.0,0.0,808475.9527777778,0,530950,2398425.952777778
9,9,2031,1059000.0,0.0,1045361.1569444444,0,603445,2707806.1569444444
9,9,2032,1061901.3698630137,0.0,255778.87384259258,0,69471,1387151.2437056063
9,9,2033,1059000.0,0.0,792106.4212962963,0,644669,2495775.421296296
9,9,2034,1059000.0,0.0,491466.9814814815,0,219948,1770414.9814814816
9,9,2035,1059000.0,0.0,739628.7023148148,0,378325,2176953.7023148146
9,9,2036,1061901.3698630137,0.0,1053777.8625,0,729725,2845404.2323630136
10,10,2017,1059000.0,0.0,1025479.3261574074,0,566357,2650836.3261574074
10,10,2018,1059000.0,0.0,680038.6858796296,0,307492,2046530.6858796296
10,10,2019,1059000.0,0.0,21898.674537037037,0,44008,1124906.674537037
10,10,2020,1061901.3698630137,0.0,726029.0034722222,0,489152,2277082.3733352358
10,10,2021,1059000.0,0.0,505390.33310185187,0,363995,1928385.3331018519
10,10,2022,1059000.0,0.0,985366.9476851852,0,635024,2679390.9476851854
10,10,2023,1059000.0,0.0,569785.1273148148,0,268489,1897274.1273148148
10,10,2024,1061901.3698630137,0.0,784194.3194444445,0,421213,2267308.6893074582
10,10,2025,1059000.0,0.0,981635.41875,0,484271,2524906.41875
10,10,2026,1059000.0,0.0,804879.1319444445,0,556085,2419964.1319444445
10,10,2027,1059000.0,0.0,1011287.4645833333,0,579080,2649367.4645833336
10,10,2028,1061901.3698630137,0.0,738395.4972222223,0,371736,2172032.867085236
10,10,2029,1059000.0,0.0,1087820.5305555556,0,618590,2765410.5305555556
10,10,2030,1059000.0,0.0,764820.0861111111,0,271326,2095146.086111111
10,10,2031,1059000.0,0.0,707457.0895833333,0,266644,2033101.0895833333
10,10,2032,1061901.3698630137,0.0,613712.232175926,0,162082,1837695.6020389397
10,10,2033,1059000.0,0.0,1002386.3050925926,0,416999,2478385.3050925927
10,10,2034,1059000.0,0.0,362333.03055555554,0,228910,1650243.0305555556
10,10,2035,1059000.0,0.0,1006297.7599537037,0,408869,2474166.7599537037
10,10,2036,1061901.3698630137,0.0,509930.0803240741,0,622211,2194042.450187088
11,11,2017,1059000.0,0.0,284790.11875,0,69786,1413576.11875
11,11,2018,1059000.0,0.0,841304.4604166667,0,419665,2319969.4604166667
11,11,2019,1059000.0,0.0,697099.2050925926,0,490857,2246956.2050925926
11,11,2020,1061901.3698630137,0.0,275310.193287037,0,73593,1410804.5631500508
11,11,2021,1059000.0,0.0,1015426.325462963,0,560975,2635401.325462963
11,11,2022,1059000.0,0.0,762054.5861111111,0,152327,1973381.586111111
11,11,2023,1059000.0,0.0,965401.3974537037,0,627761,2652162.397453704
11,11,2024,1061901.3698630137,0.0,971525.236574074,0,667625,2701051.606437088
11,11,2025,1059000.0,0.0,754970.7664351852,0,379587,2193557.7664351854
11,11,2026,1059000.0,0.0,1015238.3837962963,0,564489,2638727.383796296
11,11,2027,1059000.0,0.0,1012690.4928240741,0,537820,2609510.492824074
11,11,2028,1061901.3698630137,0.0,859432.9268518519,0,683793,2605127.2967148656
11,11,2029,1059000.0,0.0,722774.6706018519,0,492535,2274309.670601852
11,11,2030,1059000.0,0.0,732501.2159722223,0,631317,2422818.2159722224
11,11,2031,1059000.0,0.0,972500.2842592592,0,804999,2836499.2842592592
11,11,2032,1061901.3698630137,0.0,966355.8490740741,0,524679,2552936.218937088
11,11,2033,1059000.0,0.0,798561.81875,0,268003,2125564.81875
11,11,2034,1059000.0,0.0,901138.3236111111,0,454314,2414452.3236111114
11,11,2035,1059000.0,0.0,670248.175462963,0,339792,2069040.175462963
11,11,2036,1061901.3698630137,0.0,1251774.2395833333,0,975069,3288744.6094463468
12,12,2017,1059000.0,0.0,500734.20023148146,0,214912,1774646.2002314813
12,12,2018,1059000.0,0.0,254847.98842592593,0,182432,1496279.9884259258
12,12,2019,1059000.0,0.0,533113.5541666667,0,114285,1706398.5541666667
12,12,2020,1061901.3698630137,0.0,779656.5842592593,0,254684,2096241.954122273
12,12,2021,1059000.0,0.0,723961.9085648148,0,362851,2145812.908564815
12,12,2022,1059000.0,0.0,1295490.4997685186,0,498779,2853269.499768519
12,12,2023,1059000.0,0.0,936082.9467592593,0,714071,2709153.9467592593
12,12,2024,1061901.3698630137,0.0,1080336.8638888889,0,461367,2603605.2337519024
12,12,2025,1059000.0,0.0,259201.60046296296,0,80378,1398579.6004629629
12,12,2026,1059000.0,0.0,809990.5625,0,558811,2427801.5625
12,12,2027,1059000.0,0.0,741304.0289351852,0,489609,2289913.028935185
12,12,2028,1061901.3698630137,0.0,1610609.178935185,0,803478,3475988.548798199
12,12,2029,1059000.0,0.0,492032.4196759259,0,342627,1893659.419675926
12,12,2030,1059000.0,0.0,486999.55,0,222896,1768895.55
12,12,2031,1059000.0,0.0,712513.1458333334,0,639416,2410929.1458333335
12,12,2032,1061901.3698630137,0.0,712717.1013888889,0,423626,2198244.4712519026
12,12,2033,1059000.0,0.0,1121870.3162037036,0,649196,2830066.3162037036
12,12,2034,1059000.0,0.0,636411.3412037037,0,304883,2000294.3412037035
12,12,2035,1059000.0,0.0,325996.4912037037,0,240388,1625384.4912037037
12,12,2036,1061901.3698630137,0.0,771755.74375,0,783230,2616887.1136130136
13,13,2017,1059000.0,0.0,248261.3037037037,0,191227,1498488.3037037037
13,13,2018,1059000.0,0.0,746131.3921296296,0,381877,2187008.39212963
13,13,2019,1059000.0,0.0,469318.5386574074,0,338010,1866328.5386574073
13,13,2020,1061901.3698630137,0.0,1001353.886574074,0,640538,2703793.256437088
13,13,2021,1059000.0,0.0,303890.5759259259,0,209507,1572397.575925926
13,13,2022,1059000.0,0.0,762812.918287037,0,413210,2235022.918287037
13,13,2023,1059000.0,0.0,797773.1219907408,0,263552,2120325.1219907408
13,13,2024,1061901.3698630137,0.0,468644.8861111111,0,300711,1831257.255974125
13,13,2025,1059000.0,0.0,492819.6914351852,0,213031,1764850.6914351853
