run,random_seed,year,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Jack-up Vessel 1,Jack-up Vessel 2
15,15,2025,912441.488035429,912442.6244753613,9153531.944444444,4640559.027777778
15,15,2026,912442.1064281554,912447.3757343704,1980524.3055555555,6120950.462962963
16,16,2017,909937.9216805595,909940.2545164609,5128669.675925926,1970717.8240740742
16,16,2018,912444.5989484366,912441.9253945305,3053463.888888889,1959968.287037037
16,16,2019,912447.269203751,912441.7087187341,3883606.25,5549154.861111111
16,16,2020,914953.6262658292,914947.4544115227,5796780.787037037,6189858.333333333
16,16,2021,912444.5807483526,912444.4958772252,4158589.5833333335,2825573.3796296297
16,16,2022,912450.0436092974,912448.2089152561,8504341.898148147,7188747.685185186
16,16,2023,912445.3451989586,912445.3100570666,8749763.888888888,6310270.37037037
16,16,2024,914940.8767454717,914943.7473751056,8154015.277777778,5194882.87037037
16,16,2025,912441.7700728722,912439.1988474048,4089377.0833333335,8876638.888888888
16,16,2026,912444.9853667507,912442.3074120904,2011458.7962962962,3866941.6666666665
17,17,2017,909938.8694497014,909938.0307126315,5803376.388888889,4014089.814814815
17,17,2018,912447.9972135416,912449.2275463515,1928350.0,4004699.7685185187
17,17,2019,912446.9233941628,912441.6019289952,12074004.629629629,10533533.101851853
17,17,2020,914942.1616178494,914949.2637469762,9272810.416666666,7061090.046296297
17,17,2021,912442.691532614,912447.6905078657,2361348.611111111,5649419.444444445
17,17,2022,912447.2471522718,912445.360350378,2966341.435185185,1990510.648148148
17,17,2023,912446.2884092005,912452.094215367,9412837.962962963,6318198.842592592
17,17,2024,914943.1716970288,914942.8437681337,6048452.546296297,6461460.648148148
17,17,2025,912437.6411372795,912443.2854973883,3964464.3518518517,6108428.935185185
17,17,2026,912443.97358848,912445.6151891305,9428114.12037037,7893510.87962963
18,18,2017,909937.9616389964,909937.8611032255,4034981.25,2744206.4814814813
18,18,2018,912444.953397225,912448.775084058,4417289.814814814,7262018.518518519
18,18,2019,912446.9434128652,912441.4409213674,2165416.6666666665,1932990.7407407407
18,18,2020,914944.6368655423,914945.297669617,2410424.7685185187,5573787.037037037
18,18,2021,912446.3630702754,912449.0003601651,6194269.675925925,6976438.657407408
18,18,2022,912447.3708460295,912447.6255562648,4312646.296296297,5349524.537037037
18,18,2023,912442.7479345553,912446.3945905379,4061040.0462962966,2025517.1296296297
18,18,2024,914943.9127161887,914940.445001308,5994841.898148148,6602142.824074074
18,18,2025,912444.2018222492,912441.9859907047,8416426.851851853,6432556.481481481
18,18,2026,912441.8162928718,912443.5326498267,5267707.175925925,3904805.5555555555
19,19,2017,909937.0761133188,909938.7428360836,7660306.25,4006968.287037037
19,19,2018,912445.970496219,912448.3377857647,4064774.3055555555,4456969.444444445
19,19,2019,912451.5943243033,912449.4545316721,4061838.1944444445,1906669.4444444445
19,19,2020,914948.2405418322,914943.3327239417,3394512.0370370373,1947825.2314814813
19,19,2021,912447.5896524102,912443.4869705301,2563044.212962963,2007670.3703703703
19,19,2022,912448.6575160918,912446.2058482895,2092500.0,1997233.5648148148
19,19,2023,912445.7757403293,912448.1106904934,0.0,2278241.435185185
19,19,2024,914942.5620492977,914945.9459103077,4860900.231481481,5764989.12037037
19,19,2025,912445.5187047115,912445.180211089,7457202.546296296,4068579.6296296297
19,19,2026,912444.1504349555,912441.1047606469,7894026.851851852,5846000.231481481
20,20,2017,909937.8856046244,909943.1248168976,2069166.6666666667,2212012.0370370373
20,20,2018,912440.8449267787,912446.422718645,2333594.907407407,1917148.3796296297
20,20,2019,912445.5976697288,912445.390733639,8063026.62037037,5619946.527777778
20,20,2020,914950.9731424856,914945.533964916,2002969.6759259258,4008076.6203703703
20,20,2021,912450.0218158462,912446.6238270529,4454305.555555556,3991503.472222222
20,20,2022,912451.4242417564,912448.7081288494,6892978.240740741,5645819.675925926
20,20,2023,912446.3646108491,912445.2257206118,4045160.4166666665,4910742.12962963
20,20,2024,914945.5059754727,914944.1488732221,5768087.268518519,3953278.935185185
20,20,2025,912441.3709357196,912441.1724697059,2001723.6111111112,1950451.851851852
20,20,2026,912446.4357404521,912443.8871085343,4561809.027777778,4927286.805555556
21,21,2017,909944.9362932029,909940.2923436166,4540966.203703703,5003711.574074074
21,21,2018,912446.1405153282,912447.4603494122,5811694.675925926,3931575.6944444445
21,21,2019,912441.8641999834,912447.4930467398,6738965.277777778,4415650.0
21,21,2020,914950.9894444895,914946.7490517774,3948834.2592592593,4225058.796296297
21,21,2021,912447.6639470665,912446.5316925023,4569615.972222222,7121372.685185185
21,21,2022,912447.5299851943,912448.1812760476,1922014.351851852,1966530.787037037
21,21,2023,912440.3008880606,912445.3530556662,4730803.935185186,4449062.037037037
21,21,2024,914940.6404191103,914942.8348597457,3953385.8796296297,4443581.944444444
21,21,2025,912443.0559397613,912440.7650672832,4767963.888888889,3968031.712962963
21,21,2026,912446.6009997043,912448.7820893701,4295305.092592592,7777350.462962963
22,22,2017,909937.5297671757,909939.8903345953,8179289.814814814,4024223.611111111
22,22,2018,912445.6972711913,912444.6705938134,4767978.472222222,4299315.509259259
22,22,2019,912452.9652448562,912445.3759868592,4014793.0555555555,6501618.287037037
22,22,2020,914948.1313365351,914951.8166694277,7438015.740740741,3884552.546296296
22,22,2021,912449.8052830836,912451.3102489928,4775774.074074074,4115693.5185185187
22,22,2022,912446.1630409369,912445.9573338516,5308013.888888889,5906356.712962963
22,22,2023,912441.8324369262,912441.1204071472,1950142.361111111,3071134.722222222
22,22,2024,914944.6603693948,914940.9170903652,4624256.481481481,7501452.546296297
22,22,2025,912442.9261385035,912444.765979899,7541654.62962963,4002557.638888889
22,22,2026,912440.674770197,912447.3243737365,0.0,1919768.5185185184
23,23,2017,909941.5826283148,909939.3538820547,7077555.555555556,3591856.25
23,23,2018,912447.1545863104,912445.0506137505,2021845.3703703703,2175881.0185185187
23,23,2019,912444.4784559258,912445.9957690879,6103146.527777778,7151625.0
23,23,2020,914945.8259893197,914945.4139044691,1949371.0648148148,1918170.8333333333
23,23,2021,912446.329408867,912451.970761647,1972458.101851852,4046638.1944444445
23,23,2022,912448.2795462025,912449.3259662782,6132415.277777778,5973147.453703703
23,23,2023,912445.0647121142,912450.4044642531,6271277.777777778,5954851.851851852
23,23,2024,914940.7339453592,914942.9168640049,5812217.12962963,4359575.462962963
23,23,2025,912446.1596207632,912446.2539769734,5800183.564814815,3953296.7592592593
23,23,2026,912439.9792191064,912443.7855279918,5542405.324074074,6309614.12037037
24,24,2017,909938.97808695,909939.172517495,2929818.9814814813,4157945.6018518517
24,24,2018,912447.8529510441,912445.3524875776,8007055.092592592,6734702.083333333
24,24,2019,912445.3594467668,912446.5697799672,6350572.222222222,5476977.083333333
24,24,2020,914942.5946265617,914941.8511299995,4634965.509259259,6879071.527777778
24,24,2021,912445.6317602089,912451.6035697086,4495419.212962963,5869702.314814815
24,24,2022,912448.720674554,912445.8061031256,6397418.75,6594040.277777778
24,24,2023,912446.1719975974,912444.1294560588,2320824.7685185187,4469865.277777778
24,24,2024,914943.5831329348,914946.3276859376,0.0,1951778.9351851852
24,24,2025,912444.679327621,912440.9049900667,2040220.3703703703,1952945.601851852
24,24,2026,912444.3051949842,912442.8318894663,9730695.601851853,6223640.509259259
25,25,2017,909934.2117470453,909939.2656522873,6506948.611111111,2028437.037037037
25,25,2018,912446.421814606,912443.6541115112,4687601.62037037,6378390.740740741
25,25,2019,912445.7254630825,912448.7029823883,5094324.305555556,3514687.7314814813
25,25,2020,914941.760384689,914944.8422003072,1967663.4259259258,3808907.175925926
25,25,2021,912451.5139918172,912446.9029793964,2005651.388888889,1980021.9907407407
25,25,2022,912445.7038226784,912449.8233369113,6982101.157407408,4434827.083333333
25,25,2023,912441.7517133147,912444.7818673755,4210162.731481481,3936180.7870370373
25,25,2024,914945.1305538621,914942.9795598912,4204032.87037037,7494708.564814814
25,25,2025,912443.8727530434,912445.1804752274,5081860.416666667,5591191.435185186
25,25,2026,912442.9271872949,912447.2003464685,3840734.4907407407,1909146.9907407407
26,26,2017,909938.6336064576,909938.1885035537,4323206.25,3189319.675925926
26,26,2018,912447.8165374692,912443.6405140752,5714245.601851852,4688468.518518519
26,26,2019,912444.8059569193,912446.3909380644,4796992.12962963,2037823.8425925926
26,26,2020,914947.2928538779,914945.4180877303,3910634.027777778,3874375.0
26,26,2021,912444.1298983435,912444.8047336107,4019937.7314814813,2614907.4074074076
26,26,2022,912445.9028142039,912446.8051584909,5666499.768518519,7061503.240740741
26,26,2023,912445.7330936072,912444.6795203856,4508801.851851852,3972682.8703703703
26,26,2024,914947.8759987839,914942.983068536,5097527.777777778,1986343.0555555555
26,26,2025,912445.472620113,912441.5910148915,1998045.3703703703,4407917.592592592
26,26,2026,912443.0342197326,912442.8910179357,0.0,0.0
27,27,2017,909939.775101963,909941.3003967275,1951356.0185185184,0.0
27,27,2018,912452.6430503413,912447.909455612,2371877.777777778,4958487.037037037
27,27,2019,912449.7629726853,912445.2603336232,5561694.212962963,4092258.1018518517
27,27,2020,914948.1799422688,914944.3207816657,4810968.518518519,3068380.0925925924
27,27,2021,912444.2252329225,912444.9304159214,6507045.833333333,4862144.675925926
27,27,2022,912447.3098972271,912446.7394392035,7857277.546296297,6475783.101851852
27,27,2023,912444.4185145476,912447.2963378286,4408385.87962963,4196076.851851852
27,27,2024,914942.5546695559,914942.4905019017,5564682.87037037,6055096.064814814
27,27,2025,912443.556935507,912444.6693421201,4482345.37037037,3275329.861111111
27,27,2026,912447.7342158511,912440.7583927292,3545293.2870370373,4709018.055555556
28,28,2017,909938.3725620991,909939.2804766488,1919497.9166666667,0.0
28,28,2018,912450.5639987827,912445.7948518988,2664166.6666666665,4027952.0833333335
28,28,2019,912443.3468451226,912440.4183732108,4679794.675925925,2605833.3333333335
28,28,2020,914943.98347968,914945.5979740464,5059687.268518519,6790313.194444444
28,28,2021,912446.2299688938,912445.1938813671,6464552.314814814,6744012.731481481
28,28,2022,912438.6263786322,912449.7735445229,8168279.398148148,6065989.814814814
28,28,2023,912443.8778714364,912445.8583093988,4788886.111111111,5502265.509259259
28,28,2024,914946.3847817645,914944.8403338764,8128472.453703703,7691668.518518519
28,28,2025,912445.5540138177,912441.4368933289,4418526.157407408,5827587.268518519
28,28,2026,912444.1618938425,912442.0735449195,3838446.527777778,4488471.064814815
29,29,2017,909941.5855747708,909937.3762496475,6336649.305555555,3215416.6666666665
29,29,2018,912442.490327615,912446.07647245,4621806.481481481,5965923.842592592
29,29,2019,912444.8666609256,912445.1636864162,5195240.972222222,3880208.3333333335
29,29,2020,914954.0176563204,914941.9442585001,4382683.564814814,4603395.833333333
29,29,2021,912444.8352392167,912441.5779100858,4039109.2592592593,1927781.25
29,29,2022,912452.9166909993,912446.5165622631,5563364.12037037,2002653.7037037038
29,29,2023,912441.0188745933,912443.8446281715,7241834.259259259,5640828.240740741
29,29,2024,914940.6953790402,914943.291275874,2907897.9166666665,4408068.287037037
29,29,2025,912441.4261350852,912445.3164441843,7101745.138888889,5122505.787037037
29,29,2026,912445.4205697614,912441.4909953533,4004383.796296296,7353331.944444445
30,30,2017,909938.9524910594,909936.5812310845,6155781.018518519,4562321.064814814
30,30,2018,912444.973388146,912446.0064752526,2026687.037037037,5491084.953703703
30,30,2019,912448.7646355958,912443.8576128633,2010982.4074074074,2035245.8333333335
30,30,2020,914945.8950391117,914944.2679232041,4218347.222222222,5097010.87962963
30,30,2021,912446.9345912338,912444.9852713023,6110716.898148148,6004533.333333333
30,30,2022,912449.506439342,912448.5800101905,7321454.398148148,6016908.796296297
30,30,2023,912446.1385090398,912444.4125704771,1957400.0,2039624.0740740742
30,30,2024,914942.9229483913,914943.17582612,2783959.027777778,5558685.185185185
30,30,2025,912443.9325517722,912444.2258378512,5791521.759259259,4194816.203703703
30,30,2026,912445.8249925015,912447.2082776317,3892388.6574074076,6012857.87037037
31,31,2017,909939.2539343428,909937.9112610193,3882008.564814815,2027542.5925925926
31,31,2018,912447.0956012245,912447.2202572814,5659673.148148148,3857779.1666666665
31,31,2019,912447.3526601925,912446.5245735861,4347011.111111111,4296052.083333333
31,31,2020,914940.8073364848,914947.4317593506,3957705.7870370373,6615640.509259259
31,31,2021,912448.9841038315,912448.9322777969,4187542.361111111,2031635.648148148
31,31,2022,912448.2673970595,912450.2647120594,7014884.490740741,4653661.342592592
31,31,2023,912442.205518042,912441.5672323292,7119726.388888889,5874669.444444444
31,31,2024,914951.471128844,914944.6657925308,5856250.0,4278660.648148148
31,31,2025,912438.358924997,912444.505010201,1938704.1666666667,3908470.8333333335
31,31,2026,912449.3098862597,912446.8412488692,2446847.453703704,1927625.6944444445
32,32,2017,909937.3361102667,909938.694248114,2008770.6018518517,5821090.509259259
32,32,2018,912448.3006390588,912445.6111527894,6595956.25,4703921.990740741
32,32,2019,912445.0240987688,912445.946342961,4125762.5,5589953.472222222
32,32,2020,914948.3629722613,914949.3433395188,2739186.574074074,3932837.962962963
32,32,2021,912448.2995626833,912448.7657373733,5934982.87037037,5903573.611111111
32,32,2022,912443.7456913483,912447.0364860151,5926542.361111111,5419689.814814814
32,32,2023,912447.7580061179,912447.1344626754,6468072.685185186,3995001.8518518517
32,32,2024,914947.6173807275,914943.949393512,3845935.8796296297,6256640.277777778
32,32,2025,912443.7897100244,912441.9518719689,4663516.435185185,7107985.185185185
32,32,2026,912447.5548544972,912447.3428466859,4645854.398148148,5373650.231481481
33,33,2017,909938.8289366214,909938.2271416592,6971978.703703704,1941402.0833333333
33,33,2018,912447.0474193773,912444.6644159354,6762473.611111111,6865581.018518519
33,33,2019,912445.9052542574,912448.9534521642,2333470.138888889,4000948.611111111
33,33,2020,914947.7866327773,914947.182733623,1977256.0185185184,0.0
33,33,2021,912451.3312179907,912448.7433901817,4835700.231481481,4836631.944444444
33,33,2022,912447.5828509672,912445.7193923466,2030695.8333333333,9608248.37962963
33,33,2023,912440.5470303913,912443.3031958716,4869927.314814814,5705962.268518519
33,33,2024,914942.7703557088,914939.7188159631,6348741.203703703,5569637.268518519
33,33,2025,912444.6781952181,912443.8585002234,5450517.361111111,4860981.944444444
33,33,2026,912443.1478432177,912444.2872908642,2580174.7685185187,1723556.25
34,34,2017,909938.6220056688,909937.909421472,5020100.0,4800930.324074074
34,34,2018,912448.2314293801,912449.8304630108,4598379.166666667,6996833.564814815
34,34,2019,912453.7625219666,912447.0608653316,4911621.064814815,3580482.8703703703
34,34,2020,914945.2823099233,914948.145887149,3946115.277777778,6304552.083333333
34,34,2021,912448.5126633553,912443.4038621386,9223448.37962963,4042268.0555555555
34,34,2022,912447.6689293716,912445.7243237292,2592961.111111111,3960382.638888889
34,34,2023,912445.2708829156,912447.1877164473,6466458.796296297,4432976.62037037
34,34,2024,914942.2573731216,914950.14846719,3866913.1944444445,3093634.4907407407
34,34,2025,912442.9678760235,912445.3179905015,7504100.925925926,7562116.666666667
34,34,2026,912442.9357352009,912442.2879622169,3859931.0185185187,5129680.787037037
35,35,2017,909941.092949071,909945.0330816605,6520260.648148148,7141838.888888889
35,35,2018,912442.7860580696,912444.0261315893,4421331.018518519,9493893.055555556
35,35,2019,912450.7403464512,912447.4183223739,5210435.185185186,6243012.962962963
35,35,2020,914945.0453117127,914940.8686580942,6360046.527777778,4774495.601851852
35,35,2021,912446.3999582231,912443.5714031874,3829127.777777778,4004656.0185185187
35,35,2022,912453.9167456287,912445.8189328382,2079796.2962962962,4391094.907407408
35,35,2023,912448.3264134837,912440.1698614211,5774022.685185186,3943161.342592593
35,35,2024,914940.6007609036,914943.3644974949,4395405.092592592,4494764.583333333
35,35,2025,912445.2192395002,912443.8699280439,5740607.407407408,1994812.7314814816
35,35,2026,912446.082306795,912444.6776898319,2011460.4166666667,1957997.9166666667
36,36,2017,909941.3982164032,909933.1019630074,6323875.925925926,2003852.7777777778
36,36,2018,912451.3480276692,912452.8783477995,3928730.324074074,3833105.7870370373
