subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
electrical,repair,2,2,306616,0,14938.333333333334,321554.3333333333
gearbox,delay,2,2,0,0,27551595.46875,27551595.46875
gearbox,repair,2,2,22014666,0,2140788.5416666665,24155454.541666668
generator,delay,2,2,0,0,5896281.364120371,5896281.364120371
generator,repair,2,2,6613813,0,413185.8333333333,7026998.833333333
heat_cool,delay,2,2,0,0,2104.9402777777777,2104.9402777777777
heat_cool,repair,2,2,312512,0,1731.6666666666667,314243.6666666666
hub,delay,2,2,0,0,6134.930787037037,6134.930787037037
hub,repair,2,2,261960,0,5116.666666666667,267076.6666666667
main_bearing_failures,delay,2,2,0,0,331337.2122222222,331337.2122222222
main_bearing_failures,repair,2,2,1480500,0,111302.0,1591802.0
main_bearing_maintenance,delay,2,2,0,0,2841.6546296296297,2841.6546296296297
main_bearing_maintenance,maintenance,2,2,647500,0,1295.0,648795.0
oil,delay,2,2,0,0,4014.041898148148,4014.041898148148
oil,repair,2,2,259759,0,3023.333333333333,262782.3333333333
other,delay,2,2,0,0,266147.6583333333,266147.6583333333
other,repair,2,2,677874,0,19695.833333333332,697569.8333333334
pitch,delay,2,2,0,0,19143.033101851852,19143.033101851852
pitch,repair,2,2,1573210,0,16920.0,1590130.0
power_supply,delay,2,2,0,0,719676.2627314815,719676.2627314815
power_supply,repair,2,2,1632421,0,47675.833333333336,1680096.8333333333
pump_motor,delay,2,2,0,0,2600.7502314814815,2600.7502314814815
pump_motor,repair,2,2,551512,0,2493.333333333333,554005.3333333334
relay,delay,2,2,0,0,1443897.5826388889,1443897.5826388889
relay,repair,2,2,727960,0,74701.66666666667,802661.6666666666
safety,delay,2,2,0,0,1718.2037037037037,1718.2037037037037
safety,repair,2,2,163692,0,1224.1666666666665,164916.16666666666
sensors,delay,2,2,0,0,4062.412037037037,4062.412037037037
sensors,repair,2,2,705497,0,3985.0,709482.0
service_items,delay,2,2,0,0,1601.6226851851852,1601.6226851851852
service_items,repair,2,2,31612,0,1349.1666666666667,32961.16666666667
tower_substructure,delay,2,2,0,0,1137.455324074074,1137.455324074074
tower_substructure,repair,2,2,376145,0,1044.1666666666667,377189.1666666667
