subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
blades,repair,4,4,317010,0,7185.0,324195.0
controls,delay,4,4,0,0,47834.379166666666,47834.379166666666
controls,repair,4,4,631934,0,9491.666666666666,641425.6666666666
electrical,delay,4,4,0,0,404687.7210648148,404687.7210648148
electrical,repair,4,4,312911,0,11977.5,324888.5
gearbox,delay,4,4,0,0,27780431.860416666,27780431.860416666
gearbox,repair,4,4,21976618,0,2123511.4583333335,24100129.458333332
generator,delay,4,4,0,0,5507278.909490741,5507278.909490741
generator,repair,4,4,7043424,0,439055.0,7482479.0
heat_cool,delay,4,4,0,0,2030.7456018518517,2030.7456018518517
heat_cool,repair,4,4,298072,0,1651.6666666666667,299723.6666666666
hub,delay,4,4,0,0,1032496.0946759259,1032496.0946759259
hub,repair,4,4,412298,0,52076.66666666667,464374.6666666667
main_bearing_failures,delay,4,4,0,0,84525.68305555555,84525.68305555555
main_bearing_failures,repair,4,4,881000,0,37184.0,918184.0
main_bearing_maintenance,delay,4,4,0,0,3940.662962962963,3940.662962962963
main_bearing_maintenance,maintenance,4,4,3456500,0,1850.0,3458350.0
oil,delay,4,4,0,0,3428.1997685185183,3428.1997685185183
oil,repair,4,4,256517,0,2901.6666666666665,259418.66666666666
other,delay,4,4,0,0,11455.443287037036,11455.443287037036
other,repair,4,4,683880,0,8674.165972222223,692554.1659722222
pitch,delay,4,4,0,0,304012.5685185185,304012.5685185185
pitch,repair,4,4,1632090,0,25198.333333333332,1657288.3333333335
power_supply,delay,4,4,0,0,350589.1155092593,350589.1155092593
power_supply,repair,4,4,1706501,0,21054.16597222222,1727555.165972222
pump_motor,delay,4,4,0,0,3049.8863425925924,3049.8863425925924
pump_motor,repair,4,4,598824,0,2670.0,601494.0
relay,delay,4,4,0,0,740414.6618055556,740414.6618055556
relay,repair,4,4,737019,0,51185.0,788204.0
safety,delay,4,4,0,0,1585.6847222222223,1585.6847222222223
safety,repair,4,4,158020,0,1129.1666666666665,159149.16666666666
sensors,delay,4,4,0,0,4131.561111111111,4131.561111111111
sensors,repair,4,4,713176,0,3771.6666666666665,716947.6666666666
service_items,delay,4,4,0,0,1585.7884259259258,1585.7884259259258
service_items,repair,4,4,26839,0,1133.3333333333335,27972.333333333336
tower_substructure,delay,4,4,0,0,1314.9467592592591,1314.9467592592591
tower_substructure,repair,4,4,341262,0,1055.0,342317.0
transformer,delay,4,4,0,0,1061.6583333333333,1061.6583333333333
transformer,maintenance,4,4,4176,0,580.0,4756.0
transformer,repair,4,4,5750,0,100.0,5850.0
xformer,delay,4,4,0,0,12410.266666666666,12410.266666666666
xformer,repair,4,4,179681,0,1121.6666666666667,180802.66666666666
yaw,delay,4,4,0,0,135446.37685185185,135446.37685185185
yaw,repair,4,4,162515,0,9242.5,171757.5
blades,delay,5,5,0,0,8057.312962962963,8057.312962962963
blades,repair,5,5,304709,0,7482.5,312191.5
controls,delay,5,5,0,0,98178.6363425926,98178.6363425926
controls,repair,5,5,574329,0,7453.333333333333,581782.3333333334
electrical,delay,5,5,0,0,158379.56435185185,158379.56435185185
electrical,repair,5,5,301274,0,14872.5,316146.5
gearbox,delay,5,5,0,0,27604967.08726852,27604967.08726852
gearbox,repair,5,5,19768526,0,1910081.25,21678607.25
generator,delay,5,5,0,0,6323308.7717592595,6323308.7717592595
generator,repair,5,5,7355327,0,477469.1666666667,7832796.166666667
heat_cool,delay,5,5,0,0,1874.1305555555555,1874.1305555555555
heat_cool,repair,5,5,287240,0,1591.6666666666667,288831.6666666666
hub,delay,5,5,0,0,207892.65208333332,207892.65208333332
hub,repair,5,5,402686,0,51901.666666666664,454587.6666666667
main_bearing_failures,delay,5,5,0,0,16734.988009259258,16734.988009259258
main_bearing_failures,repair,5,5,697500,0,150.0,697650.0
main_bearing_maintenance,delay,5,5,0,0,4042.4756944444443,4042.4756944444443
main_bearing_maintenance,maintenance,5,5,3461500,0,1860.0,3463360.0
oil,delay,5,5,0,0,3665.692361111111,3665.692361111111
oil,repair,5,5,232823,0,2676.6666666666665,235499.66666666666
other,delay,5,5,0,0,113513.88055555556,113513.88055555556
other,repair,5,5,704416,0,14218.333333333334,718634.3333333334
pitch,delay,5,5,0,0,91156.30555555555,91156.30555555555
pitch,repair,5,5,1661450,0,25430.0,1686880.0
power_supply,delay,5,5,0,0,612641.7666666667,612641.7666666667
power_supply,repair,5,5,1660480,0,47745.833333333336,1708225.8333333333
pump_motor,delay,5,5,0,0,3100.7166666666667,3100.7166666666667
pump_motor,repair,5,5,623804,0,2671.6666666666665,626475.6666666667
relay,delay,5,5,0,0,942044.8418981482,942044.8418981482
relay,repair,5,5,716394,0,98116.66666666667,814510.6666666666
safety,delay,5,5,0,0,1624.0449074074074,1624.0449074074074
safety,repair,5,5,185104,0,1194.1666666666665,186298.16666666666
sensors,delay,5,5,0,0,4000.73125,4000.73125
sensors,repair,5,5,701694,0,3986.6666666666665,705680.6666666666
service_items,delay,5,5,0,0,1829.9594907407406,1829.9594907407406
service_items,repair,5,5,33038,0,1333.3333333333335,34371.333333333336
tower_substructure,delay,5,5,0,0,1371.6212962962964,1371.6212962962964
tower_substructure,repair,5,5,328586,0,853.3333333333334,329439.3333333334
transformer,delay,5,5,0,0,989.1618055555555,989.1618055555555
transformer,maintenance,5,5,4176,0,580.0,4756.0
transformer,repair,5,5,1725,0,30.0,1755.0
xformer,delay,5,5,0,0,4864.428009259259,4864.428009259259
xformer,repair,5,5,159377,0,949.1666666666667,160326.16666666666
yaw,delay,5,5,0,0,172912.2277777778,172912.2277777778
yaw,repair,5,5,188379,0,9355.0,197734.0
blades,delay,6,6,0,0,8435.657638888888,8435.657638888888
blades,repair,6,6,287205,0,7109.999074074074,294314.9990740741
controls,delay,6,6,0,0,6069.040277777778,6069.040277777778
controls,repair,6,6,566552,0,5506.666666666666,572058.6666666666
electrical,delay,6,6,0,0,31107.164814814812,31107.164814814812
electrical,repair,6,6,220191,0,6066.666666666667,226257.66666666666
gearbox,delay,6,6,0,0,28083793.906944446,28083793.906944446
gearbox,repair,6,6,21307072,0,2044095.0,23351167.0
generator,delay,6,6,0,0,5025615.922916667,5025615.922916667
generator,repair,6,6,6368981,0,325394.1666666667,6694375.166666667
heat_cool,delay,6,6,0,0,2018.2782407407408,2018.2782407407408
heat_cool,repair,6,6,317768,0,1760.8333333333335,319528.8333333333
hub,delay,6,6,0,0,1363236.5854166667,1363236.5854166667
hub,repair,6,6,585256,0,99361.66666666667,684617.6666666666
main_bearing_failures,delay,6,6,0,0,348.32060185185185,348.32060185185185
main_bearing_failures,repair,6,6,790500,0,170.0,790670.0
main_bearing_maintenance,delay,6,6,0,0,4000.7266203703703,4000.7266203703703
main_bearing_maintenance,maintenance,6,6,3464000,0,1865.0,3465865.0
oil,delay,6,6,0,0,3726.524537037037,3726.524537037037
oil,repair,6,6,252504,0,2876.6666666666665,255380.66666666666
other,delay,6,6,0,0,61632.09745370371,61632.09745370371
other,repair,6,6,595308,0,13720.0,609028.0
pitch,delay,6,6,0,0,39793.48472222222,39793.48472222222
pitch,repair,6,6,1472510,0,20268.333333333332,1492778.3333333335
power_supply,delay,6,6,0,0,1068858.925,1068858.925
power_supply,repair,6,6,1657691,0,79783.95833333333,1737474.9583333333
pump_motor,delay,6,6,0,0,3309.868981481481,3309.868981481481
pump_motor,repair,6,6,537532,0,2441.6666666666665,539973.6666666667
relay,delay,6,6,0,0,755682.4032407408,755682.4032407408
relay,repair,6,6,728092,0,51182.5,779274.5
safety,delay,6,6,0,0,1196.5666666666666,1196.5666666666666
safety,repair,6,6,174606,0,1160.8333333333333,175766.83333333334
sensors,delay,6,6,0,0,4516.565972222222,4516.565972222222
sensors,repair,6,6,708158,0,3740.0,711898.0
service_items,delay,6,6,0,0,1811.6222222222223,1811.6222222222223
