subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
pitch,delay,3,3,0,0,84126.09143518518,84126.09143518518
pitch,repair,3,3,1613005,0,24933.333333333332,1637938.3333333335
power_supply,delay,3,3,0,0,775566.8421296297,775566.8421296297
power_supply,repair,3,3,1626522,0,56717.5,1683239.5
pump_motor,delay,3,3,0,0,2504.0881944444445,2504.0881944444445
pump_motor,repair,3,3,506496,0,2271.6666666666665,508767.6666666667
relay,delay,3,3,0,0,1058332.1391203704,1058332.1391203704
relay,repair,3,3,783570,0,74978.33333333333,858548.3333333334
safety,delay,3,3,0,0,1801.5541666666666,1801.5541666666666
safety,repair,3,3,185944,0,1200.8333333333333,187144.8333333333
sensors,delay,3,3,0,0,4124.076157407408,4124.076157407408
sensors,repair,3,3,676774,0,4045.0,680819.0
service_items,delay,3,3,0,0,1603.293287037037,1603.293287037037
service_items,repair,3,3,30838,0,1314.1666666666667,32152.166666666668
tower_substructure,delay,3,3,0,0,1359.9523148148148,1359.9523148148148
tower_substructure,repair,3,3,338275,0,969.1666666666666,339244.1666666667
transformer,delay,3,3,0,0,934.99375,934.99375
transformer,maintenance,3,3,4176,0,580.0,4756.0
transformer,repair,3,3,4025,0,70.0,4095.0
xformer,delay,3,3,0,0,4597.85462962963,4597.85462962963
xformer,repair,3,3,159993,0,972.5000000000001,160965.5
yaw,delay,3,3,0,0,1497.4712962962963,1497.4712962962963
yaw,repair,3,3,134393,0,1525.0,135918.0
blades,delay,4,4,0,0,1234283.585648148,1234283.585648148
blades,repair,4,4,559658,0,97455.0,657113.0
controls,delay,4,4,0,0,6364.831481481481,6364.831481481481
controls,repair,4,4,581452,0,5758.333333333333,587210.3333333334
electrical,delay,4,4,0,0,188539.26180555555,188539.26180555555
electrical,repair,4,4,249962,0,8881.666666666668,258843.66666666666
gearbox,delay,4,4,0,0,26125827.265972223,26125827.265972223
gearbox,repair,4,4,18724775,0,1801585.0,20526360.0
generator,delay,4,4,0,0,6818521.933564815,6818521.933564815
generator,repair,4,4,7726817,0,528764.1666666666,8255581.166666667
heat_cool,delay,4,4,0,0,1515.7900462962962,1515.7900462962962
heat_cool,repair,4,4,285288,0,1580.8333333333335,286868.8333333333
hub,delay,4,4,0,0,479012.45393518516,479012.45393518516
hub,repair,4,4,421584,0,52151.66666666667,473735.6666666667
main_bearing_failures,delay,4,4,0,0,1233111.264,1233111.264
main_bearing_failures,repair,4,4,420000,0,311169.6,731169.6
main_bearing_maintenance,delay,4,4,0,0,22350.54375,22350.54375
main_bearing_maintenance,maintenance,4,4,7084000,0,8855.0,7092855.0
oil,delay,4,4,0,0,3029.871990740741,3029.871990740741
oil,repair,4,4,263510,0,2991.6666666666665,266501.6666666666
other,delay,4,4,0,0,148390.46828703705,148390.46828703705
other,repair,4,4,672758,0,20090.0,692848.0
pitch,delay,4,4,0,0,132500.78888888887,132500.78888888887
pitch,repair,4,4,1547140,0,20146.666666666668,1567286.6666666667
power_supply,delay,4,4,0,0,1258118.5858796297,1258118.5858796297
power_supply,repair,4,4,1543083,0,65531.666666666664,1608614.6666666665
pump_motor,delay,4,4,0,0,2800.7560185185184,2800.7560185185184
pump_motor,repair,4,4,537030,0,2426.6666666666665,539456.6666666667
relay,delay,4,4,0,0,71670.04930555556,71670.04930555556
relay,repair,4,4,749006,0,27773.333333333332,776779.3333333334
safety,delay,4,4,0,0,1479.8863425925927,1479.8863425925927
safety,repair,4,4,174502,0,1185.0,175687.0
sensors,delay,4,4,0,0,3736.545833333333,3736.545833333333
sensors,repair,4,4,753891,0,4146.666666666666,758037.6666666666
service_items,delay,4,4,0,0,1304.9523148148148,1304.9523148148148
service_items,repair,4,4,32773,0,1401.6666666666667,34174.66666666667
tower_substructure,delay,4,4,0,0,768.2925925925925,768.2925925925925
tower_substructure,repair,4,4,288853,0,899.1666666666666,289752.1666666667
transformer,delay,4,4,0,0,943.3037037037037,943.3037037037037
transformer,maintenance,4,4,4176,0,580.0,4756.0
transformer,repair,4,4,3450,0,60.0,3510.0
xformer,delay,4,4,0,0,793.3222222222222,793.3222222222222
xformer,repair,4,4,38810,0,754.1666666666667,39564.166666666664
yaw,delay,4,4,0,0,1322.4490740740741,1322.4490740740741
yaw,repair,4,4,131808,0,1550.0,133358.0
blades,delay,5,5,0,0,314550.8428240741,314550.8428240741
blades,repair,5,5,463669,0,52767.5,516436.5
controls,delay,5,5,0,0,6230.662268518518,6230.662268518518
controls,repair,5,5,527408,0,5525.0,532933.0
electrical,delay,5,5,0,0,77673.75833333333,77673.75833333333
electrical,repair,5,5,298520,0,14801.666666666666,313321.6666666666
gearbox,delay,5,5,0,0,29745120.471296296,29745120.471296296
gearbox,repair,5,5,20198793,0,1952797.7083333333,22151590.708333332
generator,delay,5,5,0,0,4900737.26412037,4900737.26412037
generator,repair,5,5,6815814,0,376682.5,7192496.5
heat_cool,delay,5,5,0,0,1554.94375,1554.94375
heat_cool,repair,5,5,289056,0,1601.6666666666667,290657.6666666666
hub,delay,5,5,0,0,6849.092129629629,6849.092129629629
hub,repair,5,5,266526,0,5308.333333333333,271834.3333333333
main_bearing_failures,delay,5,5,0,0,1176908.9009999998,1176908.9009999998
main_bearing_failures,repair,5,5,480000,0,355622.39999999997,835622.4
main_bearing_maintenance,delay,5,5,0,0,20979.73611111111,20979.73611111111
main_bearing_maintenance,maintenance,5,5,7092000,0,8865.0,7100865.0
oil,delay,5,5,0,0,3960.6314814814814,3960.6314814814814
oil,repair,5,5,261953,0,2918.333333333333,264871.3333333333
other,delay,5,5,0,0,195326.40509259258,195326.40509259258
other,repair,5,5,627332,0,19760.833333333332,647092.8333333334
pitch,delay,5,5,0,0,29080.306712962964,29080.306712962964
pitch,repair,5,5,1572225,0,20960.0,1593185.0
power_supply,delay,5,5,0,0,493730.25509259256,493730.25509259256
power_supply,repair,5,5,1555575,0,47693.333333333336,1603268.3333333333
pump_motor,delay,5,5,0,0,2614.8921296296294,2614.8921296296294
pump_motor,repair,5,5,573566,0,2571.6666666666665,576137.6666666667
relay,delay,5,5,0,0,627189.4861111111,627189.4861111111
relay,repair,5,5,765467,0,74835.0,840302.0
safety,delay,5,5,0,0,1124.8898148148148,1124.8898148148148
safety,repair,5,5,166734,0,1173.3333333333333,167907.3333333333
sensors,delay,5,5,0,0,4180.723611111111,4180.723611111111
sensors,repair,5,5,586389,0,4003.333333333333,590392.3333333334
service_items,delay,5,5,0,0,1328.2375,1328.2375
service_items,repair,5,5,36148,0,1313.3333333333335,37461.333333333336
tower_substructure,delay,5,5,0,0,1276.5907407407408,1276.5907407407408
tower_substructure,repair,5,5,313391,0,977.5,314368.5
transformer,delay,5,5,0,0,998.3291666666667,998.3291666666667
transformer,maintenance,5,5,4176,0,580.0,4756.0
transformer,repair,5,5,1725,0,30.0,1755.0
xformer,delay,5,5,0,0,3065.2685185185182,3065.2685185185182
xformer,repair,5,5,381593,0,1219.1666666666667,382812.1666666667
yaw,delay,5,5,0,0,2249.937037037037,2249.937037037037
yaw,repair,5,5,127180,0,1537.5,128717.5
blades,delay,6,6,0,0,7369.047685185185,7369.047685185185
blades,repair,6,6,270622,0,6845.0,277467.0
controls,delay,6,6,0,0,11889.629166666668,11889.629166666668
controls,repair,6,6,511889,0,7431.666666666666,519320.6666666667
electrical,delay,6,6,0,0,114974.01018518518,114974.01018518518
electrical,repair,6,6,280552,0,9167.5,289719.5
gearbox,delay,6,6,0,0,30884733.16226852,30884733.16226852
gearbox,repair,6,6,20903535,0,2011664.1666666667,22915199.166666668
generator,delay,6,6,0,0,4027223.599537037,4027223.599537037
generator,repair,6,6,6941735,0,426409.1666666667,7368144.166666667
heat_cool,delay,6,6,0,0,2151.602546296296,2151.602546296296
heat_cool,repair,6,6,310256,0,1719.1666666666667,311975.1666666666
hub,delay,6,6,0,0,6084.922222222222,6084.922222222222
hub,repair,6,6,242352,0,4933.333333333333,247285.33333333334
main_bearing_failures,delay,6,6,0,0,1281678.741,1281678.741
main_bearing_failures,repair,6,6,480000,0,355622.39999999997,835622.3999999999
main_bearing_maintenance,delay,6,6,0,0,20853.853935185183,20853.853935185183
main_bearing_maintenance,maintenance,6,6,7080000,0,8850.0,7088850.0
oil,delay,6,6,0,0,3389.000462962963,3389.000462962963
oil,repair,6,6,263644,0,3073.333333333333,266717.3333333333
other,delay,6,6,0,0,9734.696296296295,9734.696296296295
other,repair,6,6,562262,0,8169.166666666667,570431.1666666666
pitch,delay,6,6,0,0,20562.97013888889,20562.97013888889
pitch,repair,6,6,1615520,0,17333.333333333332,1632853.3333333335
power_supply,delay,6,6,0,0,1225273.193287037,1225273.193287037
power_supply,repair,6,6,1646786,0,74579.16666666667,1721365.1666666665
pump_motor,delay,6,6,0,0,3184.8527777777776,3184.8527777777776
pump_motor,repair,6,6,574260,0,2516.6666666666665,576776.6666666667
relay,delay,6,6,0,0,3869.0699074074073,3869.0699074074073
relay,repair,6,6,641372,0,3660.0,645032.0
safety,delay,6,6,0,0,1664.050462962963,1664.050462962963
safety,repair,6,6,182584,0,1174.1666666666665,183758.16666666666
sensors,delay,6,6,0,0,3804.886574074074,3804.886574074074
sensors,repair,6,6,614699,0,3720.0,618419.0
service_items,delay,6,6,0,0,1522.4226851851852,1522.4226851851852
service_items,repair,6,6,37309,0,1365.8333333333335,38674.833333333336
tower_substructure,delay,6,6,0,0,1119.9486111111112,1119.9486111111112
tower_substructure,repair,6,6,317488,0,866.6666666666666,318354.6666666667
transformer,delay,6,6,0,0,1199.1641203703703,1199.1641203703703
transformer,maintenance,6,6,4176,0,580.0,4756.0
transformer,repair,6,6,62775,0,190.0,62965.0
xformer,delay,6,6,0,0,6885.260416666666,6885.260416666666
xformer,repair,6,6,251092,0,1005.8333333333334,252097.83333333334
yaw,delay,6,6,0,0,287657.55439814815,287657.55439814815
yaw,repair,6,6,210423,0,17105.833333333336,227528.83333333334
blades,delay,7,7,0,0,179782.1775462963,179782.1775462963
blades,repair,7,7,439386,0,52300.0,491686.0
controls,delay,7,7,0,0,15051.977777777778,15051.977777777778
controls,repair,7,7,525785,0,7223.333333333333,533008.3333333334
electrical,delay,7,7,0,0,67340.02083333333,67340.02083333333
electrical,repair,7,7,307901,0,12063.333333333334,319964.3333333333
gearbox,delay,7,7,0,0,28072765.156018518,28072765.156018518
gearbox,repair,7,7,19814244,0,1898431.6666666667,21712675.666666668
generator,delay,7,7,0,0,5615970.9627314815,5615970.9627314815
generator,repair,7,7,6843052,0,415372.28958333336,7258424.289583334
heat_cool,delay,7,7,0,0,2334.0833333333335,2334.0833333333335
heat_cool,repair,7,7,267248,0,1480.8333333333335,268728.8333333333
hub,delay,7,7,0,0,1073452.048611111,1073452.048611111
hub,repair,7,7,383951,0,51701.666666666664,435652.6666666667
main_bearing_failures,delay,7,7,0,0,1358666.3159999999,1358666.3159999999
main_bearing_failures,repair,7,7,480000,0,355622.4,835622.4
main_bearing_maintenance,delay,7,7,0,0,21827.216435185186,21827.216435185186
main_bearing_maintenance,maintenance,7,7,7080000,0,8850.0,7088850.0
oil,delay,7,7,0,0,3764.009722222222,3764.009722222222
oil,repair,7,7,274772,0,3056.6666666666665,277828.6666666666
other,delay,7,7,0,0,137096.2310185185,137096.2310185185
other,repair,7,7,627270,0,13880.833333333334,641150.8333333334
pitch,delay,7,7,0,0,93163.3863425926,93163.3863425926
pitch,repair,7,7,1593750,0,21070.833333333332,1614820.8333333335
power_supply,delay,7,7,0,0,531122.6451388889,531122.6451388889
power_supply,repair,7,7,1536796,0,74567.5,1611363.5
pump_motor,delay,7,7,0,0,2572.3819444444443,2572.3819444444443
pump_motor,repair,7,7,572124,0,2503.333333333333,574627.3333333334
relay,delay,7,7,0,0,452509.8740740741,452509.8740740741
relay,repair,7,7,722265,0,51150.0,773415.0
safety,delay,7,7,0,0,1712.3685185185184,1712.3685185185184
safety,repair,7,7,180172,0,1230.0,181402.0
sensors,delay,7,7,0,0,4448.227314814814,4448.227314814814
sensors,repair,7,7,656131,0,3796.6666666666665,659927.6666666666
service_items,delay,7,7,0,0,1829.9525462962963,1829.9525462962963
service_items,repair,7,7,35109,0,1346.6666666666667,36455.66666666667
tower_substructure,delay,7,7,0,0,1027.4372685185185,1027.4372685185185
tower_substructure,repair,7,7,336387,0,872.5,337259.5
transformer,delay,7,7,0,0,1053.33125,1053.33125
transformer,maintenance,7,7,4176,0,580.0,4756.0
transformer,repair,7,7,3450,0,60.0,3510.0
xformer,delay,7,7,0,0,26618.029166666667,26618.029166666667
xformer,repair,7,7,490814,0,1461.6666666666667,492275.6666666667
yaw,delay,7,7,0,0,166789.9375,166789.9375
yaw,repair,7,7,162503,0,16805.833333333332,179308.83333333334
blades,delay,8,8,0,0,6976.513194444445,6976.513194444445
blades,repair,8,8,279182,0,6835.0,286017.0
controls,delay,8,8,0,0,7820.660648148148,7820.660648148148
controls,repair,8,8,628052,0,5948.333333333333,634000.3333333334
electrical,delay,8,8,0,0,2822.3976851851853,2822.3976851851853
electrical,repair,8,8,217762,0,3310.8333333333335,221072.8333333333
gearbox,delay,8,8,0,0,28521910.478703704,28521910.478703704
gearbox,repair,8,8,21651369,0,2099311.25,23750680.25
generator,delay,8,8,0,0,5684616.969444444,5684616.969444444
generator,repair,8,8,6859399,0,426275.8333333333,7285674.833333333
heat_cool,delay,8,8,0,0,1849.880324074074,1849.880324074074
heat_cool,repair,8,8,314776,0,1744.1666666666667,316520.1666666666
