datetime|env_datetime|env_time|agent|action|reason|additional|system_id|system_name|part_id|part_name|system_operating_level|part_operating_level|duration|distance_km|request_id|location|materials_cost|hourly_labor_cost|salary_labor_cost|total_labor_cost|equipment_cost|total_cost
2025-10-28 09:13:48.254810|2017-01-01 00:00:00|0|S02T1|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S02T1|S02T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.283509|2017-01-01 00:00:00|0|S02T2|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S02T2|S02T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.311512|2017-01-01 00:00:00|0|S02T3|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S02T3|S02T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.343017|2017-01-01 00:00:00|0|S02T4|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S02T4|S02T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.370015|2017-01-01 00:00:00|0|S02T5|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S02T5|S02T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.397014|2017-01-01 00:00:00|0|S03T1|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S03T1|S03T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.424519|2017-01-01 00:00:00|0|S03T2|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S03T2|S03T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.452518|2017-01-01 00:00:00|0|S03T3|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S03T3|S03T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.478516|2017-01-01 00:00:00|0|S03T4|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S03T4|S03T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.505514|2017-01-01 00:00:00|0|S03T5|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S03T5|S03T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.533104|2017-01-01 00:00:00|0|S04T1|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S04T1|S04T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.560100|2017-01-01 00:00:00|0|S04T2|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S04T2|S04T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.588689|2017-01-01 00:00:00|0|S04T3|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S04T3|S04T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.615797|2017-01-01 00:00:00|0|S04T4|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S04T4|S04T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.644242|2017-01-01 00:00:00|0|S04T5|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S04T5|S04T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.673665|2017-01-01 00:00:00|0|S04T6|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S04T6|S04T6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.702496|2017-01-01 00:00:00|0|S05T1|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S05T1|S05T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.730469|2017-01-01 00:00:00|0|S05T2|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S05T2|S05T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.766380|2017-01-01 00:00:00|0|S05T3|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S05T3|S05T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.793378|2017-01-01 00:00:00|0|S05T4|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S05T4|S05T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.821379|2017-01-01 00:00:00|0|S05T5|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S05T5|S05T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.851430|2017-01-01 00:00:00|0|S05T6|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S05T6|S05T6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.883813|2017-01-01 00:00:00|0|S06T1|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S06T1|S06T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.915896|2017-01-01 00:00:00|0|S06T2|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S06T2|S06T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.945402|2017-01-01 00:00:00|0|S06T3|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S06T3|S06T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:48.977323|2017-01-01 00:00:00|0|S06T4|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S06T4|S06T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.005318|2017-01-01 00:00:00|0|S06T5|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S06T5|S06T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.034258|2017-01-01 00:00:00|0|S06T6|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S06T6|S06T6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.061923|2017-01-01 00:00:00|0|S07T1|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S07T1|S07T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.092292|2017-01-01 00:00:00|0|S07T2|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S07T2|S07T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.120329|2017-01-01 00:00:00|0|S07T3|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S07T3|S07T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.148416|2017-01-01 00:00:00|0|S07T4|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S07T4|S07T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.177827|2017-01-01 00:00:00|0|S07T5|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S07T5|S07T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.206138|2017-01-01 00:00:00|0|S07T6|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S07T6|S07T6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.233728|2017-01-01 00:00:00|0|S08T1|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S08T1|S08T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.260563|2017-01-01 00:00:00|0|S08T2|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S08T2|S08T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.290781|2017-01-01 00:00:00|0|S08T3|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S08T3|S08T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.315866|2017-01-01 00:00:00|0|S08T4|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S08T4|S08T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.343455|2017-01-01 00:00:00|0|S08T5|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S08T5|S08T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.369454|2017-01-01 00:00:00|0|S08T6|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S08T6|S08T6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.396453|2017-01-01 00:00:00|0|S09T1|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S09T1|S09T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.424092|2017-01-01 00:00:00|0|S09T2|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S09T2|S09T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.450090|2017-01-01 00:00:00|0|S09T3|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S09T3|S09T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.477236|2017-01-01 00:00:00|0|S09T4|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S09T4|S09T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.503234|2017-01-01 00:00:00|0|S09T5|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S09T5|S09T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.528103|2017-01-01 00:00:00|0|S09T6|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S09T6|S09T6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.556078|2017-01-01 00:00:00|0|S10T1|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S10T1|S10T1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.587021|2017-01-01 00:00:00|0|S10T2|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S10T2|S10T2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.613022|2017-01-01 00:00:00|0|S10T3|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S10T3|S10T3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.643527|2017-01-01 00:00:00|0|S10T4|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S10T4|S10T4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.673608|2017-01-01 00:00:00|0|S10T5|subassemblies created: ['blades', 'controls', 'electrical', 'gearbox', 'generator', 'hvac', 'hub', 'lubricant', 'other', 'pitch', 'power_supply', 'relay', 'safety', 'sensors', 'service_items', 'tower', 'xformer', 'yaw']|windfarm initialization|initialization|S10T5|S10T5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:49.676528|2017-01-01 00:00:00|0|OSS1|subassemblies created: ['transformer']|windfarm initialization|initialization|OSS1|OSS1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-10-28 09:13:50.694584|2017-01-01 00:00:00|0|Truck 1|delay|work is complete|will return next year|||||0|0|31|0|na|enroute|0|0|0|0|0|0
2025-10-28 09:13:50.695604|2017-01-01 00:00:00|0|Truck 2|delay|work is complete|will return next year|||||0|0|31|0|na|enroute|0|0|0|0|0|0
2025-10-28 09:13:50.696591|2017-01-01 00:00:00|0|Truck 3|delay|work is complete|will return next year|||||0|0|31|0|na|enroute|0|0|0|0|0|0
2025-10-28 09:13:50.696591|2017-01-01 00:00:00|0|Remote Reset|delay|work is complete|will return next year|||||0|0|31|0|na|enroute|0|0|0|0|0|0
2025-10-28 09:13:50.765764|2017-01-01 17:31:21|17.52246487679052|generator|repair request|remote reset|severity level 5|S08T3|S08T3|generator|generator|1.0|1.0|0|0|RPR00000000|na|0|0|0|0|0|0
2025-10-28 09:13:50.768733|2017-01-02 05:42:24|29.70663072692005|generator|repair request|remote reset|severity level 5|S09T4|S09T4|generator|generator|1.0|1.0|0|0|RPR00000001|na|0|0|0|0|0|0
2025-10-28 09:13:50.769971|2017-01-02 06:46:00|30.766648441123102|generator|repair request|remote reset|severity level 5|S04T2|S04T2|generator|generator|1.0|1.0|0|0|RPR00000002|na|0|0|0|0|0|0
2025-10-28 09:13:50.769971|2017-01-02 07:00:00|31|Truck 1|mobilization|Truck 1 is being mobilized|mobilization|||||0|0|0|0|na|enroute|0|0|0|0|0|0
2025-10-28 09:13:50.769971|2017-01-02 07:00:00|31|Truck 2|mobilization|Truck 2 is being mobilized|mobilization|||||0|0|0|0|na|enroute|0|0|0|0|0|0
2025-10-28 09:13:50.769971|2017-01-02 07:00:00|31|Truck 3|mobilization|Truck 3 is being mobilized|mobilization|||||0|0|0|0|na|enroute|0|0|0|0|0|0
2025-10-28 09:13:50.769971|2017-01-02 07:00:00|31|Remote Reset|mobilization|Remote Reset is being mobilized|mobilization|||||0|0|0|0|na|enroute|0|0|0|0|0|0
2025-10-28 09:13:50.769971|2017-01-02 07:00:00|31|Truck 1|mobilization|Truck 1 has arrived on site|mobilization|||||0|0|0|0|na|site|0|0|0|0|0.0|0.0
2025-10-28 09:13:50.769971|2017-01-02 07:00:00|31|Truck 2|mobilization|Truck 2 has arrived on site|mobilization|||||0|0|0|0|na|site|0|0|0|0|0.0|0.0
2025-10-28 09:13:50.769971|2017-01-02 07:00:00|31|Truck 3|mobilization|Truck 3 has arrived on site|mobilization|||||0|0|0|0|na|site|0|0|0|0|0.0|0.0
2025-10-28 09:13:50.769971|2017-01-02 07:00:00|31|Remote Reset|mobilization|Remote Reset has arrived on site|mobilization|||||0|0|0|0|na|site|0|0|0|0|0.0|0.0
2025-10-28 09:13:50.774059|2017-01-02 07:00:02|31.000555555555554|Truck 1|traveling|no requests|traveling from site to port|||||0|0|0.0|0.0|na|enroute|0|0|0.0|0.0|0.0|0.0
2025-10-28 09:13:50.774059|2017-01-02 07:00:02|31.000555555555554|Truck 1|complete travel|no requests|arrived at port|||||0|0|0|0|na|port|0|0|0|0|0|0
2025-10-28 09:13:50.774059|2017-01-02 07:00:02|31.000555555555554|Truck 1|delay|no requests|no work requests, waiting until the next shift|||||0|0|23.999444444444446|0|na|port|0|0.0|0.0|0.0|19.999537037037037|19.999537037037037
2025-10-28 09:13:50.775056|2017-01-02 07:00:03|31.000833333333333|Truck 2|traveling|no requests|traveling from site to port|||||0|0|0.0|0.0|na|enroute|0|0|0.0|0.0|0.0|0.0
