subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
oil,repair,4,4,261956,0,2971.6666666666665,264927.6666666666
other,delay,4,4,0,0,113043.05509259258,113043.05509259258
other,repair,4,4,628434,0,14128.333333333334,642562.3333333334
pitch,delay,4,4,0,0,24514.62337962963,24514.62337962963
pitch,repair,4,4,1563180,0,20292.5,1583472.5
power_supply,delay,4,4,0,0,1234179.6247685186,1234179.6247685186
power_supply,repair,4,4,1742723,0,65718.33333333333,1808441.3333333333
pump_motor,delay,4,4,0,0,3101.5782407407405,3101.5782407407405
pump_motor,repair,4,4,550476,0,2475.0,552951.0
relay,delay,4,4,0,0,511965.28842592594,511965.28842592594
relay,repair,4,4,754565,0,27749.166666666668,782314.1666666666
safety,delay,4,4,0,0,1471.550462962963,1471.550462962963
safety,repair,4,4,181536,0,1215.8333333333333,182751.8333333333
sensors,delay,4,4,0,0,3834.067361111111,3834.067361111111
sensors,repair,4,4,679119,0,4003.333333333333,683122.3333333334
service_items,delay,4,4,0,0,1594.120601851852,1594.120601851852
service_items,repair,4,4,31870,0,1360.8333333333335,33230.833333333336
tower_substructure,delay,4,4,0,0,992.442361111111,992.442361111111
tower_substructure,repair,4,4,316234,0,936.6666666666666,317170.6666666667
transformer,delay,4,4,0,0,1148.3210648148147,1148.3210648148147
transformer,maintenance,4,4,4176,0,580.0,4756.0
transformer,repair,4,4,3450,0,60.0,3510.0
xformer,delay,4,4,0,0,869.1456018518518,869.1456018518518
xformer,repair,4,4,40838,0,711.6666666666667,41549.666666666664
yaw,delay,4,4,0,0,1906.617361111111,1906.617361111111
yaw,repair,4,4,132804,0,1495.8333333333335,134299.83333333334
blades,delay,5,5,0,0,492506.8946759259,492506.8946759259
blades,repair,5,5,447815,0,52432.5,500247.5
controls,delay,5,5,0,0,14635.512962962963,14635.512962962963
controls,repair,5,5,528385,0,7386.666666666666,535771.6666666666
electrical,delay,5,5,0,0,179232.23842592593,179232.23842592593
electrical,repair,5,5,328773,0,17557.5,346330.5
gearbox,delay,5,5,0,0,28482824.02962963,28482824.02962963
gearbox,repair,5,5,20923153,0,2007440.8333333333,22930593.833333332
