run,random_seed,year,Large Crane 1,Large Crane 2,Large Crane for MB,Truck 1,Truck 2,Truck 3
11,11,2035,1367856.5875,306235.625,,7299.437037037037,7299.459490740741,7299.435416666666
11,11,2036,586108.53125,1238957.8625,,7319.444212962963,7319.465277777777,7319.467361111111
11,11,2037,1144801.19375,382095.0,,7299.446296296296,7299.471296296296,7299.449305555556
11,11,2038,1311196.53125,362896.25,,7299.43125,7299.47962962963,7299.439351851852
11,11,2039,1204095.4375,469996.25,,7299.454629629629,7299.44837962963,7299.423379629629
11,11,2040,1340377.7375,337494.65,,7319.418518518519,7319.418981481482,7319.454861111111
11,11,2041,1032294.375,494601.90625,,7299.4430555555555,7299.469444444444,7299.46412037037
11,11,2042,834915.74375,839175.9,,7299.449305555556,7299.44837962963,7299.454166666666
11,11,2043,1321944.8125,204950.94375,,7299.462037037037,7299.47037037037,7299.42662037037
11,11,2044,1209103.85,468614.1875,,7319.457638888889,7319.427083333333,7319.440277777778
11,11,2045,1295840.5,378252.5,,7299.467824074074,7299.456481481481,7299.440972222222
11,11,2046,1186222.8625,487868.3,,7299.460185185185,7299.4375,7299.461342592593
12,12,2017,1282223.6375,526735.625,0.0,7279.481944444445,7279.473148148148,7279.430555555556
12,12,2018,1081591.875,445304.14375,0.0,7299.4638888888885,7299.444675925926,7299.465509259259
12,12,2019,739390.725,934699.25625,0.0,7299.4743055555555,7299.465509259259,7299.463425925926
12,12,2020,1072700.49375,605171.2375,0.0,7319.491898148148,7319.45625,7319.446064814814
12,12,2021,1001200.74375,525695.625,0.0,7299.4537037037035,7299.47337962963,7299.438425925926
12,12,2022,847113.75,679781.9625,0.0,7299.440046296296,7299.440509259259,7299.412731481481
12,12,2023,1469049.725,57846.1625,0.0,7299.445138888888,7299.4428240740735,7299.438657407407
12,12,2024,1224377.15,453494.3625,0.0,7319.468287037037,7319.462962962963,7319.450462962963
12,12,2025,1299697.19375,374393.75,0.0,7299.456018518518,7299.47037037037,7299.447453703703
12,12,2026,865974.375,660921.81875,0.0,7299.454629629629,7299.475231481481,7299.430787037037
12,12,2027,1083493.35625,590598.55,0.0,7299.440277777778,7299.457407407407,7299.406018518518
12,12,2028,1254229.19375,570838.95,0.0,7319.459259259259,7319.450925925926,7319.4631944444445
12,12,2029,1306431.10625,367660.625,0.0,7299.4532407407405,7299.487731481481,7299.462037037037
12,12,2030,1050887.3125,623204.375,0.0,7299.422685185185,7299.441898148148,7299.477777777778
12,12,2031,1379700.0,0.0,0.0,7299.440740740741,7299.491203703704,7299.448842592593
12,12,2032,1193744.14375,484128.4625,0.0,7319.46087962963,7319.498611111111,7319.429861111111
12,12,2033,1399373.58125,569111.98125,0.0,7299.4532407407405,7299.444675925926,7299.453935185185
12,12,2034,1285475.625,241420.525,0.0,7299.433796296296,7299.4324074074075,7299.444675925925
12,12,2035,686553.63125,987537.26875,0.0,7299.459953703704,7299.459490740741,7299.43125
12,12,2036,1068137.10625,609733.88125,0.0,7319.4530092592595,7319.406481481481,7319.49699074074
12,12,2037,966034.8875,706800.9125,0.0,7299.447453703704,7299.4740740740735,7299.464583333333
12,12,2038,1231505.38125,442586.9625,0.0,7299.446527777778,7299.479861111111,7299.4331018518515
12,12,2039,921347.98125,605548.125,0.0,7299.45,7299.471064814815,7299.412268518518
12,12,2040,1284384.69375,393486.25,0.0,7319.449305555556,7319.45787037037,7319.43125
12,12,2041,1081089.5125,740199.24375,0.0,7299.450694444445,7299.418518518519,7299.465509259259
12,12,2042,1151726.6,375169.50625,842002.98,7299.45,7299.446296296296,7299.443518518518
12,12,2043,1311195.525,362896.25,0.0,7299.457638888889,7299.435416666666,7299.448842592593
12,12,2044,1404394.925,273475.625,0.0,7319.4530092592595,7319.441898148148,7319.458796296296
12,12,2045,1187235.0,339661.5,0.0,7299.447453703704,7299.481944444445,7299.453935185185
12,12,2046,1248014.4625,573272.5,0.0,7299.452083333334,7299.435879629629,7299.425925925926
13,13,2017,1142345.94375,0.0,0.0,7279.438888888889,7279.441435185185,7279.438425925926
13,13,2018,959542.7375,714550.91875,0.0,7299.467361111111,7299.431481481482,7299.490509259259
13,13,2019,1020875.625,506020.74375,0.0,7299.453472222222,7299.453935185185,7299.468055555555
13,13,2020,762864.21875,915008.95625,0.0,7319.459259259259,7319.451620370371,7319.448148148148
13,13,2021,1099597.81875,574494.4375,0.0,7299.461111111111,7299.428703703704,7299.46087962963
13,13,2022,1004547.61875,522348.75,0.0,7299.468055555555,7299.4537037037035,7299.451620370371
13,13,2023,1326040.425,348051.875,0.0,7299.429861111111,7299.468055555555,7299.458333333333
13,13,2024,1383480.0,0.0,0.0,7319.436574074074,7319.462268518519,7319.435185185185
13,13,2025,1366336.38125,602146.8625,0.0,7299.462962962963,7299.422916666666,7299.440740740741
13,13,2026,1327252.5,199642.38125,0.0,7299.44537037037,7299.422685185185,7299.460416666667
13,13,2027,1098181.19375,428715.0,0.0,7299.458101851852,7299.461111111111,7299.444675925926
13,13,2028,1079905.76875,597965.0,0.0,7319.444212962963,7319.471527777778,7319.440509259259
13,13,2029,1295838.09375,378252.5,0.0,7299.459490740741,7299.429861111111,7299.43449074074
13,13,2030,1379700.0,0.0,0.0,7299.473148148148,7299.469675925926,7299.466898148148
13,13,2031,1098259.9875,575831.13125,0.0,7299.478703703704,7299.450925925926,7299.479166666667
13,13,2032,1318126.70625,359746.25,0.0,7319.466898148148,7319.450462962963,7319.440509259259
13,13,2033,1394472.6875,279618.125,0.0,7299.462731481482,7299.455555555555,7299.459490740741
13,13,2034,1132274.65,541816.25,0.0,7299.457407407407,7299.441898148148,7299.439583333333
13,13,2035,1329390.7125,344701.4125,0.0,7299.423379629629,7299.445601851852,7299.468287037037
13,13,2036,705651.6,1119416.675,0.0,7319.446759259259,7319.4428240740735,7319.465046296296
13,13,2037,1144800.5375,382095.0,0.0,7299.416666666667,7299.449074074074,7299.456018518518
13,13,2038,1204094.825,469996.25,0.0,7299.421064814815,7299.443518518518,7299.447453703704
13,13,2039,1379700.0,0.0,0.0,7299.461342592593,7299.478240740741,7299.440277777778
13,13,2040,1223314.9,454440.675,0.0,7319.479166666667,7319.462962962963,7319.513194444445
13,13,2041,1245560.725,428529.95625,0.0,7299.4324074074075,7299.493518518519,7299.4324074074075
13,13,2042,978795.31875,695295.8875,0.0,7299.46574074074,7299.4740740740735,7299.456018518518
13,13,2043,1329312.26875,344779.68125,0.0,7299.441435185185,7299.4625,7299.479166666667
13,13,2044,1159369.59375,518501.39375,0.0,7319.479861111111,7319.456712962963,7319.461342592593
13,13,2045,1408491.5875,265600.625,0.0,7299.456018518518,7299.452314814815,7299.455555555555
13,13,2046,1051036.875,475859.275,874595.085,7299.42662037037,7299.438657407407,7299.474768518518
14,14,2017,1473865.41875,0.0,0.0,7279.447685185185,7279.438425925926,7279.444675925925
14,14,2018,1245561.425,428531.00625,0.0,7299.456712962963,7299.46412037037,7299.44837962963
14,14,2019,1051036.875,475860.01875,0.0,7299.453935185185,7299.450462962963,7299.444212962962
14,14,2020,1094795.075,435881.25,0.0,7319.450694444445,7319.422685185185,7319.453935185185
14,14,2021,1132275.7875,541816.25,0.0,7299.491666666667,7299.446296296296,7299.446064814815
14,14,2022,1201265.11875,472827.3125,0.0,7299.442361111111,7299.43287037037,7299.45787037037
14,14,2023,1043173.88125,630917.5875,0.0,7299.456481481481,7299.480555555556,7299.428472222222
14,14,2024,1054659.375,476017.08125,0.0,7319.4537037037035,7319.473611111111,7319.450925925926
14,14,2025,1332946.1625,488340.45,0.0,7299.464583333333,7299.448842592593,7299.446759259259
14,14,2026,1347937.125,326154.65,0.0,7299.455324074074,7299.478935185185,7299.4638888888885
14,14,2027,1398569.91875,275523.125,0.0,7299.470601851852,7299.448148148148,7299.486342592592
