subassembly,action,run,random_seed,materials_cost,total_labor_cost,equipment_cost,total_cost
service_items,delay,5,5,0,0,1526.5747685185186,1526.5747685185186
service_items,repair,5,5,36664,0,1336.6666666666667,38000.66666666667
tower_substructure,delay,5,5,0,0,1049.9270833333333,1049.9270833333333
tower_substructure,repair,5,5,315589,0,955.8333333333334,316544.8333333334
transformer,delay,5,5,0,0,1039.9965277777778,1039.9965277777778
transformer,maintenance,5,5,4176,0,580.0,4756.0
transformer,repair,5,5,5175,0,90.0,5265.0
xformer,delay,5,5,0,0,7663.679398148149,7663.679398148149
xformer,repair,5,5,268008,0,1050.0,269058.0
yaw,delay,5,5,0,0,1861.5967592592592,1861.5967592592592
yaw,repair,5,5,128315,0,1558.3333333333335,129873.33333333333
blades,delay,6,6,0,0,7612.323611111111,7612.323611111111
blades,repair,6,6,273599,0,6877.5,280476.5
controls,delay,6,6,0,0,12111.278240740741,12111.278240740741
controls,repair,6,6,514469,0,7320.0,521789.0
electrical,delay,6,6,0,0,105468.38171296296,105468.38171296296
electrical,repair,6,6,299647,0,11994.166666666666,311641.1666666666
gearbox,delay,6,6,0,0,29013195.979398146,29013195.979398146
gearbox,repair,6,6,19421425,0,1891363.5416666667,21312788.541666668
generator,delay,6,6,0,0,6193253.406481481,6193253.406481481
generator,repair,6,6,7601003,0,527759.1666666666,8128762.166666667
heat_cool,delay,6,6,0,0,1715.7395833333333,1715.7395833333333
heat_cool,repair,6,6,306792,0,1700.0,308492.0
hub,delay,6,6,0,0,6724.931481481482,6724.931481481482
hub,repair,6,6,259734,0,5358.333333333333,265092.3333333333
main_bearing_failures,delay,6,6,0,0,2582271.2369999997,2582271.2369999997
main_bearing_failures,repair,6,6,900000,0,666792.0,1566792.0
main_bearing_maintenance,delay,6,6,0,0,21023.90763888889,21023.90763888889
main_bearing_maintenance,maintenance,6,6,7080000,0,8850.0,7088850.0
oil,delay,6,6,0,0,3937.3363425925922,3937.3363425925922
oil,repair,6,6,257559,0,3021.6666666666665,260580.66666666666
other,delay,6,6,0,0,11017.967592592593,11017.967592592593
other,repair,6,6,612106,0,8528.333333333334,620634.3333333334
pitch,delay,6,6,0,0,18971.355787037035,18971.355787037035
pitch,repair,6,6,1558500,0,16907.5,1575407.5
power_supply,delay,6,6,0,0,1002481.3900462963,1002481.3900462963
power_supply,repair,6,6,1794147,0,74800.83333333333,1868947.8333333333
pump_motor,delay,6,6,0,0,3004.8893518518516,3004.8893518518516
pump_motor,repair,6,6,562886,0,2505.0,565391.0
relay,delay,6,6,0,0,4324.778703703703,4324.778703703703
relay,repair,6,6,648089,0,3795.0,651884.0
safety,delay,6,6,0,0,1414.0625,1414.0625
safety,repair,6,6,182898,0,1151.6666666666665,184049.66666666666
sensors,delay,6,6,0,0,4229.903935185185,4229.903935185185
sensors,repair,6,6,641976,0,3938.333333333333,645914.3333333334
service_items,delay,6,6,0,0,1268.2944444444445,1268.2944444444445
service_items,repair,6,6,33819,0,1288.3333333333335,35107.333333333336
tower_substructure,delay,6,6,0,0,962.4055555555556,962.4055555555556
tower_substructure,repair,6,6,344642,0,900.0,345542.0
transformer,delay,6,6,0,0,1184.9949074074075,1184.9949074074075
transformer,maintenance,6,6,4176,0,580.0,4756.0
transformer,repair,6,6,60475,0,150.0,60625.0
xformer,delay,6,6,0,0,3383.804398148148,3383.804398148148
xformer,repair,6,6,251092,0,1005.8333333333334,252097.83333333334
yaw,delay,6,6,0,0,121574.89050925926,121574.89050925926
yaw,repair,6,6,225481,0,24873.333333333332,250354.33333333334
blades,delay,7,7,0,0,147020.67708333334,147020.67708333334
blades,repair,7,7,449286,0,52570.0,501856.0
controls,delay,7,7,0,0,8986.511342592592,8986.511342592592
controls,repair,7,7,516401,0,7195.0,523596.0
electrical,delay,7,7,0,0,75755.38564814815,75755.38564814815
electrical,repair,7,7,271334,0,9216.666666666666,280550.6666666666
gearbox,delay,7,7,0,0,27268295.701157406,27268295.701157406
gearbox,repair,7,7,19083004,0,1838161.25,20921165.25
generator,delay,7,7,0,0,5867013.861805555,5867013.861805555
generator,repair,7,7,6857357,0,438629.1666666667,7295986.166666667
heat_cool,delay,7,7,0,0,1682.4243055555555,1682.4243055555555
heat_cool,repair,7,7,256120,0,1419.1666666666667,257539.16666666666
hub,delay,7,7,0,0,1094929.5666666667,1094929.5666666667
hub,repair,7,7,397573,0,51826.666666666664,449399.6666666667
main_bearing_failures,delay,7,7,0,0,2176301.043,2176301.043
main_bearing_failures,repair,7,7,960000,0,711244.7999999999,1671244.7999999998
main_bearing_maintenance,delay,7,7,0,0,20852.21111111111,20852.21111111111
main_bearing_maintenance,maintenance,7,7,7080000,0,8850.0,7088850.0
oil,delay,7,7,0,0,3813.9967592592593,3813.9967592592593
oil,repair,7,7,252894,0,2908.333333333333,255802.3333333333
other,delay,7,7,0,0,125132.37291666666,125132.37291666666
other,repair,7,7,689088,0,19958.333333333336,709046.3333333334
pitch,delay,7,7,0,0,93039.98796296296,93039.98796296296
pitch,repair,7,7,1589300,0,21076.666666666668,1610376.6666666667
power_supply,delay,7,7,0,0,990957.8224537037,990957.8224537037
power_supply,repair,7,7,1670533,0,65805.83333333333,1736338.8333333333
pump_motor,delay,7,7,0,0,3004.8932870370368,3004.8932870370368
pump_motor,repair,7,7,597692,0,2686.6666666666665,600378.6666666667
relay,delay,7,7,0,0,674702.4581018519,674702.4581018519
relay,repair,7,7,735492,0,98213.33333333334,833705.3333333334
safety,delay,7,7,0,0,1324.0347222222222,1324.0347222222222
safety,repair,7,7,171038,0,1182.5,172220.5
sensors,delay,7,7,0,0,3953.262037037037,3953.262037037037
sensors,repair,7,7,617202,0,3576.6666666666665,620778.6666666666
service_items,delay,7,7,0,0,1248.273148148148,1248.273148148148
service_items,repair,7,7,32013,0,1206.6666666666667,33219.66666666667
tower_substructure,delay,7,7,0,0,894.0472222222222,894.0472222222222
tower_substructure,repair,7,7,343961,0,887.5,344848.5
transformer,delay,7,7,0,0,906.6648148148148,906.6648148148148
transformer,maintenance,7,7,4176,0,580.0,4756.0
transformer,repair,7,7,1725,0,30.0,1755.0
xformer,delay,7,7,0,0,14982.315046296297,14982.315046296297
xformer,repair,7,7,148519,0,895.8333333333334,149414.83333333334
yaw,delay,7,7,0,0,109154.9037037037,109154.9037037037
yaw,repair,7,7,166955,0,16960.0,183915.0
blades,delay,8,8,0,0,1275969.992824074,1275969.992824074
blades,repair,8,8,562085,0,97472.5,659557.5
controls,delay,8,8,0,0,16055.297685185185,16055.297685185185
controls,repair,8,8,649401,0,7680.0,657081.0
electrical,delay,8,8,0,0,13859.967824074074,13859.967824074074
electrical,repair,8,8,266640,0,9167.5,275807.5
gearbox,delay,8,8,0,0,26165302.85324074,26165302.85324074
gearbox,repair,8,8,20591838,0,1985596.875,22577434.875
generator,delay,8,8,0,0,6785926.333101852,6785926.333101852
generator,repair,8,8,7334004,0,465235.0,7799239.0
heat_cool,delay,8,8,0,0,1964.925,1964.925
heat_cool,repair,8,8,307104,0,1701.6666666666667,308805.6666666666
hub,delay,8,8,0,0,6309.1094907407405,6309.1094907407405
hub,repair,8,8,257336,0,5191.666666666667,262527.6666666667
main_bearing_failures,delay,8,8,0,0,1279100.6549999998,1279100.6549999998
main_bearing_failures,repair,8,8,600000,0,444527.99999999994,1044527.9999999999
main_bearing_maintenance,delay,8,8,0,0,21600.576388888887,21600.576388888887
main_bearing_maintenance,maintenance,8,8,7088000,0,8860.0,7096860.0
oil,delay,8,8,0,0,3438.225925925926,3438.225925925926
oil,repair,8,8,254710,0,2985.0,257694.99999999997
other,delay,8,8,0,0,210995.88958333334,210995.88958333334
other,repair,8,8,635166,0,14212.5,649378.5
pitch,delay,8,8,0,0,128553.04699074074,128553.04699074074
pitch,repair,8,8,1601410,0,20615.833333333332,1622025.8333333335
power_supply,delay,8,8,0,0,998375.5363425926,998375.5363425926
