run,random_seed,year,Large Crane 1,Large Crane 2,Truck 1,Truck 2,Truck 3
11,11,2045,1444611.3,376677.5,7299.4375,7299.438425925926,7299.485648148148
11,11,2046,1208977.4125,465113.75,7299.469212962963,7299.4375,7299.5055555555555
12,12,2017,1183125.66875,475859.8,7279.459953703704,7279.418055555556,7279.439351851852
12,12,2018,1091015.6875,435881.25,7299.485185185185,7299.456481481481,7299.450925925926
12,12,2019,1298872.025,375220.625,7299.468981481481,7299.437037037037,7299.454629629629
12,12,2020,1383480.0,0.0,7319.4631944444445,7319.4326388888885,7319.490972222222
12,12,2021,864214.24375,957074.425,7299.45625,7299.438425925926,7299.5050925925925
12,12,2022,1038960.66875,487935.0,7299.461574074074,7299.440740740741,7299.423148148148
12,12,2023,1148496.8875,525593.75,7299.467361111111,7299.46412037037,7299.427777777778
12,12,2024,1085371.875,445303.05,7319.479398148148,7319.436111111111,7319.429398148148
12,12,2025,1227175.88125,299053.125,7299.442361111111,7299.426388888889,7299.450925925926
12,12,2026,1258554.7375,415536.5125,7299.47337962963,7299.46087962963,7299.430092592593
12,12,2027,1253948.0375,420142.73125,7299.447916666667,7299.436342592592,7299.473148148148
12,12,2028,1204887.00625,472984.4625,7319.477083333333,7319.457407407407,7319.437731481481
12,12,2029,1379700.0,0.0,7299.437962962963,7299.4224537037035,7299.460185185185
12,12,2030,1106098.9375,567449.375,7299.422222222222,7299.439814814815,7299.450694444445
12,12,2031,1329623.4625,344468.75,7299.457175925926,7299.451157407408,7299.473148148148
12,12,2032,1167479.925,510390.14375,7319.485185185185,7319.434953703703,7319.450462962963
12,12,2033,1149592.5,377303.34375,7299.461342592593,7299.433796296296,7299.443749999999
12,12,2034,1110501.28125,416394.78125,7299.429398148148,7299.425694444444,7299.468981481481
12,12,2035,921347.28125,899940.03125,7299.469907407407,7299.445138888889,7299.451620370371
12,12,2036,1182086.5625,495786.525,7319.415046296296,7319.4331018518515,7319.455324074074
12,12,2037,1264383.2875,262513.125,7299.4432870370365,7299.472916666667,7299.464583333333
12,12,2038,1016394.06875,657696.875,7299.454398148148,7299.452083333334,7299.473611111111
12,12,2039,1193429.1875,477358.10625,7299.467824074074,7299.47962962963,7299.457175925926
12,12,2040,1310211.0625,367660.625,7319.488657407407,7319.489351851852,7319.449768518519
12,12,2041,1087077.6625,587014.4625,7299.470601851852,7299.454629629629,7299.486111111111
12,12,2042,1239571.83125,434519.375,7299.466435185185,7299.457407407407,7299.461111111111
12,12,2043,1193389.725,480701.875,7299.459259259259,7299.475925925925,7299.466435185185
12,12,2044,1287928.88125,389941.8875,7319.470833333333,7319.450231481482,7319.455092592592
12,12,2045,1098259.15625,575831.875,7299.466435185185,7299.472916666667,7299.461805555556
12,12,2046,675293.60625,1145993.6625,7299.468055555555,7299.438194444444,7299.474999999999
13,13,2017,1458583.71875,0.0,7279.439583333333,7279.462962962963,7279.46412037037
13,13,2018,1245719.93125,428373.24375,7299.454166666666,7299.440509259259,7299.456944444444
13,13,2019,1051036.875,475858.96875,7299.472453703704,7299.483333333334,7299.44537037037
13,13,2020,1094795.425,435881.25,7319.462962962963,7319.477314814815,7319.446296296296
13,13,2021,1227090.0,447001.25,7299.45787037037,7299.472222222222,7299.444675925926
13,13,2022,1020875.625,506020.4375,7299.4537037037035,7299.469675925926,7299.471990740741
13,13,2023,1227685.0875,446406.03125,7299.441203703704,7299.44375,7299.447222222222
13,13,2024,1147005.1875,383670.0,7319.4837962962965,7319.440972222222,7319.450694444445
13,13,2025,1234418.825,439671.94375,7299.437268518518,7299.4743055555555,7299.451157407408
13,13,2026,1051036.875,475858.05,7299.450462962963,7299.430787037037,7299.4319444444445
13,13,2027,1525478.3,1417.5,7299.4525462962965,7299.44212962963,7299.439351851852
13,13,2028,1352740.525,325132.25625,7319.448611111111,7319.462731481482,7319.491666666667
13,13,2029,1020875.625,506019.475,7299.423611111111,7299.4428240740735,7299.4432870370365
13,13,2030,1231228.4,295666.875,7299.465046296296,7299.461111111111,7299.438657407407
13,13,2031,1381995.5375,292095.93125,7299.4745370370365,7299.455324074074,7299.478009259259
13,13,2032,1344353.475,333518.69375,7319.399768518519,7319.437037037037,7319.4432870370365
13,13,2033,918815.625,590360.725,7299.447222222222,7299.458333333333,7299.446296296296
13,13,2034,1544614.8125,0.0,7299.464814814814,7299.434722222222,7299.455787037037
13,13,2035,1231936.8,442154.0125,7299.434722222222,7299.440046296296,7299.446296296296
13,13,2036,1054659.375,439673.5625,7319.445601851851,7319.444212962962,7319.441203703704
13,13,2037,1234418.2125,476016.775,7299.465509259259,7299.450462962963,7299.463425925926
13,13,2038,1526422.38125,472.5,7299.458564814815,7299.456018518518,7299.457407407407
13,13,2039,1404601.81875,269488.5125,7299.462731481482,7299.451157407408,7299.466435185185
13,13,2040,1288515.04375,389356.25,7319.47037037037,7319.420833333334,7319.446759259259
13,13,2041,1276392.18125,397699.9875,7299.460648148148,7299.434027777777,7299.450694444445
13,13,2042,1379700.0,0.0,7299.440277777778,7299.490046296296,7299.407175925926
13,13,2043,1253748.975,420344.375,7299.465509259259,7299.434953703703,7299.458796296296
13,13,2044,1280802.09375,396286.25,7319.471759259259,7319.449305555556,7319.448842592593
13,13,2045,1235285.075,438807.00625,7299.457638888889,7299.462037037037,7299.471759259259
13,13,2046,1245718.96875,428373.59375,7299.458333333333,7299.490046296296,7299.424537037037
14,14,2017,1501976.7625,0.0,7279.430787037037,7279.427083333333,7279.450694444445
14,14,2018,1408810.13125,265281.11875,7299.469444444444,7299.45,7299.428935185185
14,14,2019,964333.125,562563.1125,7299.448611111111,7299.459027777778,7299.428240740741
14,14,2020,1178895.2625,351780.0125,7319.456481481481,7319.462037037037,7319.45787037037
14,14,2021,1208116.10625,465975.05625,7299.477777777777,7299.437731481481,7299.450694444445
14,14,2022,964333.125,562562.89375,7299.482870370371,7299.4745370370365,7299.453935185185
14,14,2023,1155113.2,371782.73125,7299.439583333333,7299.436805555555,7299.4428240740735
14,14,2024,1005097.29375,672773.51875,7319.423842592592,7319.491898148148,7319.4875
14,14,2025,1256979.78125,417111.425,7299.487731481481,7299.459259259259,7299.4120370370365
14,14,2026,1050879.375,476016.3375,7299.43912037037,7299.469444444444,7299.47962962963
14,14,2027,1091015.25,435881.25,7299.467592592592,7299.437037037037,7299.461574074074
14,14,2028,884453.78125,940615.0625,7319.43125,7319.4532407407405,7319.435879629629
14,14,2029,1038015.93125,636075.49375,7299.455787037037,7299.4638888888885,7299.447222222222
14,14,2030,1177560.58125,349335.0,7299.4625,7299.408101851852,7299.439583333333
14,14,2031,884177.71875,937109.06875,7299.450925925926,7299.458333333333,7299.466203703703
14,14,2032,1482995.975,342071.6875,7319.471759259259,7319.446759259259,7319.447916666667
14,14,2033,1239571.9625,434519.375,7299.457175925926,7299.468981481481,7299.428472222222
14,14,2034,1043752.5,483142.99375,7299.439351851852,7299.446990740741,7299.467592592592
14,14,2035,1091013.85,435881.25,7299.439351851852,7299.459722222222,7299.437268518518
14,14,2036,1230869.3875,447001.25,7319.46412037037,7319.471527777778,7319.455787037037
14,14,2037,1020875.625,506020.35,7299.43449074074,7299.454166666666,7299.448611111111
14,14,2038,1525517.28125,1378.125,7299.462962962963,7299.471759259259,7299.431712962963
14,14,2039,1246191.64375,427900.13125,7299.485879629629,7299.490509259259,7299.440740740741
14,14,2040,1287928.88125,389943.59375,7319.42962962963,7319.446064814814,7319.478472222222
14,14,2041,1457472.775,216618.125,7299.4530092592595,7299.4738425925925,7299.451851851852
14,14,2042,1155550.65625,518541.73125,7299.457175925926,7299.45787037037,7299.470833333333
14,14,2043,1020875.625,506020.39375,7299.43449074074,7299.484722222222,7299.44837962963
14,14,2044,1265130.275,265545.0,7319.466666666666,7319.487731481481,7319.457407407407
14,14,2045,762071.6,1059216.675,7299.417592592593,7299.444444444444,7299.454861111111
14,14,2046,998842.9875,969641.04375,7299.4532407407405,7299.4525462962965,7299.469907407407
15,15,2017,1495305.10625,0.0,7279.468518518518,7279.424305555555,7279.48125
15,15,2018,1245560.2,428529.475,7299.455092592592,7299.448148148148,7299.478935185185
15,15,2019,1051036.875,475858.53125,7299.479166666667,7299.441435185185,7299.465972222222
15,15,2020,1094794.9875,435881.25,7319.436805555555,7319.458796296296,7319.439583333333
15,15,2021,1298871.7625,375220.625,7299.449768518519,7299.429166666667,7299.4631944444445
15,15,2022,964333.125,562563.50625,7299.46087962963,7299.438425925926,7299.430324074074
15,15,2023,1381835.675,145060.86875,7299.460648148148,7299.4643518518515,7299.478472222222
15,15,2024,1167323.2125,510548.51875,7319.440046296296,7319.462037037037,7319.4740740740735
15,15,2025,1302413.4125,371676.875,7299.445833333333,7299.469212962963,7299.447685185185
15,15,2026,1313990.05625,360100.625,7299.46574074074,7299.456481481481,7299.4643518518515
