run,random_seed,year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
8,8,2020,17101726.02739726,0.0,15579448.903306229,0,5661245,38342419.93070349
8,8,2021,17055000.0,0.0,15274514.501551008,0,8483092,40812606.50155101
8,8,2022,17055000.0,0.0,13013632.6761362,0,7674723,37743355.676136196
8,8,2023,17055000.0,0.0,8801975.67016181,0,5087558,30944533.67016181
8,8,2024,17101726.02739726,0.0,9961937.421541244,0,3595076,30658739.448938504
8,8,2025,17055000.0,0.0,15842783.161752038,0,7217608,40115391.16175204
8,8,2026,17055000.0,0.0,18157936.545131877,0,9851721,45064657.54513188
9,9,2017,17055000.0,0.0,18890228.643695258,0,8743568,44688796.64369526
9,9,2018,17055000.0,0.0,16169490.766324963,0,8279920,41504410.76632497
9,9,2019,17055000.0,0.0,7890376.131678551,0,3557537,28502913.13167855
9,9,2020,17101726.02739726,0.0,10857386.871503536,0,5837045,33796157.89890079
9,9,2021,17055000.0,0.0,20909139.807705052,0,9527158,47491297.80770505
9,9,2022,17055000.0,0.0,12065876.348713728,0,7555272,36676148.348713726
9,9,2023,17055000.0,0.0,12407052.432904713,0,7629995,37092047.43290471
9,9,2024,17101726.02739726,0.0,13064974.558508288,0,6515865,36682565.58590555
9,9,2025,17055000.0,0.0,17412412.37588625,0,8040818,42508230.37588625
9,9,2026,17055000.0,0.0,6599998.804651861,0,1791931,25446929.80465186
10,10,2017,17055000.0,0.0,9630713.85926534,0,5833161,32518874.859265342
10,10,2018,17055000.0,0.0,12352687.662313197,0,7096313,36504000.66231319
10,10,2019,17055000.0,0.0,6372210.471606622,0,2728160,26155370.471606623
10,10,2020,17101726.02739726,0.0,17219718.26517764,0,11593013,45914457.2925749
10,10,2021,17055000.0,0.0,11565312.31949557,0,5600332,34220644.31949557
10,10,2022,17055000.0,0.0,10172061.037380157,0,3885245,31112306.03738016
10,10,2023,17055000.0,0.0,10170973.786763016,0,5802415,33028388.786763016
10,10,2024,17101726.02739726,0.0,14042139.064591078,0,6762212,37906077.09198834
10,10,2025,17055000.0,0.0,4399103.209251228,0,2385551,23839654.20925123
10,10,2026,17055000.0,0.0,18665247.330482777,0,7054383,42774630.33048278
11,11,2017,17055000.0,0.0,12115515.804090599,0,6267562,35438077.8040906
11,11,2018,17055000.0,0.0,12064357.879748387,0,6399898,35519255.87974839
11,11,2019,17055000.0,0.0,8915796.70650931,0,3602526,29573322.70650931
11,11,2020,17101726.02739726,0.0,8792659.651414279,0,4687967,30582352.67881154
11,11,2021,17055000.0,0.0,21527648.64208534,0,8859072,47441720.64208534
11,11,2022,17055000.0,0.0,8625658.496321123,0,5057872,30738530.496321123
11,11,2023,17055000.0,0.0,8957614.633786531,0,4700902,30713516.63378653
11,11,2024,17101726.02739726,0.0,3867397.463891146,0,2484039,23453162.491288405
11,11,2025,17055000.0,0.0,21016962.17862345,0,9244245,47316207.17862345
11,11,2026,17055000.0,0.0,13173775.792015774,0,4626910,34855685.792015776
12,12,2017,17055000.0,0.0,17036720.700440582,0,5831704,39923424.700440586
12,12,2018,17055000.0,0.0,15630133.576708859,0,9527993,42213126.57670886
12,12,2019,17055000.0,0.0,15958580.256703123,0,8073155,41086735.25670312
12,12,2020,17101726.02739726,0.0,14377672.617734779,0,6034476,37513874.645132035
12,12,2021,17055000.0,0.0,6931539.549538208,0,3784973,27771512.54953821
12,12,2022,17055000.0,0.0,13641884.637068406,0,5926708,36623592.637068406
12,12,2023,17055000.0,0.0,17081731.64831093,0,7497113,41633844.64831093
12,12,2024,17101726.02739726,0.0,13294705.006181618,0,5981889,36378320.03357888
12,12,2025,17055000.0,0.0,13594243.577163095,0,6092389,36741632.57716309
12,12,2026,17055000.0,0.0,15509949.098304568,0,5252005,37816954.09830457
13,13,2017,17055000.0,0.0,5746188.177575252,0,2611994,25413182.177575253
13,13,2018,17055000.0,0.0,14244350.206420267,0,7741995,39041345.206420265
13,13,2019,17055000.0,0.0,13031238.654825127,0,8355600,38441838.65482513
13,13,2020,17101726.02739726,0.0,14674323.210565796,0,6275525,38051574.23796306
13,13,2021,17055000.0,0.0,7727655.092197124,0,2255169,27037824.092197124
13,13,2022,17055000.0,0.0,10776329.602610216,0,3703826,31535155.602610216
13,13,2023,17055000.0,0.0,8381673.96597222,0,3130893,28567566.96597222
13,13,2024,17101726.02739726,0.0,11797464.382722411,0,4206434,33105624.41011967
13,13,2025,17055000.0,0.0,9144055.990485808,0,4610552,30809607.99048581
13,13,2026,17055000.0,0.0,9696313.587821545,0,4515061,31266374.587821543
14,14,2017,17055000.0,0.0,11364735.573162276,0,6337580,34757315.57316227
14,14,2018,17055000.0,0.0,7929576.846212807,0,4565423,29549999.846212808
14,14,2019,17055000.0,0.0,20892780.276272412,0,9424968,47372748.276272416
14,14,2020,17101726.02739726,0.0,10705054.346437605,0,5496008,33302788.373834863
14,14,2021,17055000.0,0.0,15249169.323858056,0,9346285,41650454.32385805
14,14,2022,17055000.0,0.0,9151977.157402227,0,7169512,33376489.157402225
14,14,2023,17055000.0,0.0,15728096.14304685,0,6863785,39646881.14304685
14,14,2024,17101726.02739726,0.0,14494016.982483242,0,8711973,40307716.0098805
