run,random_seed,year,Large Crane 1,Large Crane 2,Truck 1,Truck 2,Truck 3
2,2,2030,694753.58125,1273536.94375,7299.4844907407405,7299.503472222223,7299.495833333333
2,2,2031,1177449.0375,643836.875,7299.500462962963,7299.470138888889,7299.519212962963
2,2,2032,540797.8375,1284271.00625,7319.53912037037,7319.522916666667,7319.531944444445
2,2,2033,1064011.4125,757276.25,7299.521064814815,7299.520138888889,7299.528472222222
2,2,2034,809684.375,1011603.24375,7299.52037037037,7299.508796296296,7299.517592592592
2,2,2035,600914.1875,1054518.125,7299.537037037037,7299.53425925926,7299.5155092592595
2,2,2036,1271677.04375,558231.425,7319.502546296297,7319.49837962963,7319.512731481482
3,3,2017,1242588.15,415030.5,7279.506712962963,7279.524305555556,7279.508101851852
3,3,2018,1303333.275,665150.66875,7299.500462962963,7299.543055555556,7299.5569444444445
3,3,2019,786413.75,1034874.56875,7299.511805555556,7299.505787037037,7299.527777777777
3,3,2020,939116.75625,885950.6,7319.534722222223,7319.544675925926,7319.519907407407
3,3,2021,1360072.78125,608411.6,7299.525,7299.516435185185,7299.501388888889
3,3,2022,760544.375,1060743.24375,7299.5043981481485,7299.520601851852,7299.521064814815
3,3,2023,1113190.0,708096.875,7299.5125,7299.520601851852,7299.48912037037
3,3,2024,937137.1375,887929.825,7319.490046296296,7319.534027777778,7319.493981481482
3,3,2025,807951.36875,1013336.55625,7299.529166666666,7299.551388888889,7299.559027777777
3,3,2026,1235843.89375,438248.49375,7299.514351851852,7299.529861111111,7299.538657407407
3,3,2027,615967.0499999999,1352516.5,7299.483101851852,7299.503240740741,7299.5043981481485
3,3,2028,1152561.875,672505.6125,7319.522916666667,7319.516435185185,7319.490509259259
3,3,2029,861159.24375,1107323.0375,7299.498379629629,7299.53125,7299.5125
3,3,2030,1098852.55625,722434.1,7299.521064814815,7299.535185185186,7299.519907407407
3,3,2031,612651.875,1208634.86875,7299.501388888889,7299.519907407407,7299.512962962963
3,3,2032,1205415.0,619652.88125,7319.499305555555,7319.520833333333,7319.5263888888885
3,3,2033,911874.55,1056609.91875,7299.537731481481,7299.509027777778,7299.523148148148
3,3,2034,1012503.1625,658283.3,7299.531944444444,7299.519444444444,7299.536574074074
3,3,2035,710036.24375,1258448.05,7299.514351851852,7299.536574074074,7299.552777777778
3,3,2036,1164571.20625,660496.98125,7319.491203703704,7319.493518518519,7319.486574074074
4,4,2017,797061.8875,788890.175,7279.49212962963,7279.525231481482,7279.513657407408
4,4,2018,1355149.4625,466137.41250000003,7299.532638888889,7299.5162037037035,7299.5256944444445
4,4,2019,835978.125,985309.75625,7299.525231481482,7299.54375,7299.537731481481
4,4,2020,778630.11875,1046436.93125,7319.477546296296,7319.470833333334,7319.521064814815
4,4,2021,929774.625,891512.73125,7299.570138888889,7299.493981481482,7299.555092592593
4,4,2022,1280534.8875,540753.125,7299.527777777777,7299.512037037037,7299.538194444444
4,4,2023,673954.2,1147332.15,7299.527546296296,7299.532175925926,7299.498611111111
4,4,2024,448655.0,1229216.25,7319.510185185185,7319.502314814815,7319.514120370371
4,4,2025,1117517.575,692591.0,7299.511111111111,7299.510416666667,7299.488425925926
4,4,2026,925556.99375,895730.975,7299.53587962963,7299.522685185185,7299.568287037037
4,4,2027,1083033.51875,738253.96875,7299.516435185185,7299.522222222222,7299.536574074074
4,4,2028,929777.05,1042485.625,7319.501620370371,7319.512731481482,7319.50787037037
4,4,2029,1084675.48125,589415.4625,7299.520833333333,7299.508796296296,7299.543055555556
4,4,2030,1063613.75,757674.48125,7299.488657407407,7299.499537037037,7299.534953703704
4,4,2031,581730.8625,1092359.99375,7299.532407407408,7299.516666666666,7299.525462962963
4,4,2032,449198.2875,1195599.40625,7319.543981481482,7319.536574074074,7319.531481481482
4,4,2033,1071138.50625,930419.34375,7299.548611111111,7299.521296296296,7299.533564814815
4,4,2034,879233.55,942055.55625,7299.516435185185,7299.509953703704,7299.489814814815
4,4,2035,469278.53125,1352008.0375,7299.5155092592595,7299.500231481481,7299.519212962963
4,4,2036,1080037.25625,745030.625,7319.516666666666,7319.533564814815,7319.491203703704
5,5,2017,747069.30625,1044681.4375,7279.521064814815,7279.510648148148,7279.540972222222
5,5,2018,1288326.01875,532962.25625,7299.508101851852,7299.517824074074,7299.517592592592
5,5,2019,451250.425,1370038.375,7299.505787037037,7299.527314814814,7299.509027777778
5,5,2020,937263.2,1034999.95625,7319.509722222222,7319.496064814814,7319.528472222222
5,5,2021,882962.7125,938326.91875,7299.503935185186,7299.5256944444445,7299.556018518519
5,5,2022,1088215.3375,585876.875,7299.565277777778,7299.534490740741,7299.496296296296
5,5,2023,737934.33125,1083351.58125,7299.547222222222,7299.528472222222,7299.498379629629
5,5,2024,337066.25,1340805.04375,7319.50625,7319.506944444444,7319.524768518519
5,5,2025,880401.875,793688.675,7299.527083333333,7299.517129629629,7299.540509259259
5,5,2026,1390193.3875,431093.75,7299.498148148148,7299.518518518518,7299.514583333334
5,5,2027,915760.625,905528.56875,7299.508101851852,7299.5055555555555,7299.542361111111
5,5,2028,593314.15625,1084557.88125,7319.506712962963,7319.497685185185,7319.522916666667
5,5,2029,1281011.7625,507200.55,7299.5263888888885,7299.5474537037035,7299.537962962963
5,5,2030,733260.66875,1268297.18125,7299.5055555555555,7299.543981481482,7299.529398148148
5,5,2031,1039827.4,634265.38125,7299.537037037037,7299.527083333333,7299.537962962963
5,5,2032,1161057.46875,664009.66875,7319.517592592592,7319.5375,7319.527546296296
5,5,2033,1049561.1375,771726.875,7299.475231481481,7299.502083333334,7299.529861111111
5,5,2034,666320.0,1154966.65625,7299.543287037037,7299.522222222222,7299.522453703704
5,5,2035,628362.5,1043185.3875,7299.504166666667,7299.506018518518,7299.517129629629
5,5,2036,1389679.36875,435386.675,7319.499305555556,7319.509027777778,7319.529629629629
6,6,2017,1276282.65,453616.25,7279.508101851852,7279.532870370371,7279.500231481482
6,6,2018,631390.91875,1189899.10625,7299.5125,7299.496064814814,7299.502083333334
6,6,2019,600914.40625,1073177.4125,7299.540509259259,7299.547916666666,7299.513194444445
6,6,2020,917616.16875,907452.9375,7319.542824074074,7319.493287037037,7319.497453703703
6,6,2021,1084674.7375,589417.16875,7299.531944444444,7299.500694444444,7299.491898148148
